index,R01_06_CO201,R01_06_FCI01,R01_06_MVV01,R01_06_TRU01,HTR9_VES01_SI01,HTR9_VES01_TUD01,HTR9_VEN02_Status,HTRK_RAD01_TR02
2025-09-03 03:00:00+00:00,459.0575658,49.52141268,0,23.66671301,0.0,15.34725,1,25.0
2025-09-03 04:00:00+00:00,461.6,57.77679957,0,23.7,0.203454546,14.22666667,1,24.9
2025-09-03 05:00:00+00:00,454.2363636,258.0727273,0,23.7,50.28403636,15.1,1,24.9
2025-09-03 06:00:00+00:00,463.06,250.0210526,0,23.4,161.2104091,15.9545,1,24.8
2025-09-03 07:00:00+00:00,476.7555556,239.6197861,0,23.3,293.8016373,19.09361905,1,24.8
2025-09-03 08:00:00+00:00,589.6363636,250.6834127,0,24.0,179.634625,20.62886364,1,24.9
2025-09-03 09:00:00+00:00,523.3257143,248.6711632,0,23.76,400.2449051,20.56714286,1,24.9
2025-09-03 10:00:00+00:00,612.3111111,245.1852814,0,24.40357143,581.7399035,22.351,1,24.9
2025-09-03 11:00:00+00:00,517.0,245.0615385,0,23.9,616.93484,21.265,1,25.0
2025-09-03 12:00:00+00:00,488.8285714,249.9033333,0,24.0,605.5101762,21.3,1,25.0
2025-09-03 13:00:00+00:00,567.615,248.5747126,0,24.44741379,604.8780244,21.92578947,1,25.0
2025-09-03 14:00:00+00:00,521.0,51.0,0,24.3,231.206,21.0,1,25.0
2025-09-03 15:00:00+00:00,558.2663462,49.056,0,25.09232323,133.1930112,20.33384615,1,25.0
2025-09-03 16:00:00+00:00,454.8,46.65,0,25.52181818,224.2968907,19.91480342,1,25.0
2025-09-03 17:00:00+00:00,450.0,49.85,0,25.6,32.49846667,20.11,1,24.9
2025-09-03 18:00:00+00:00,441.1626984,48.47727273,0,25.30833333,1.385227273,19.86125,1,24.9
2025-09-03 19:00:00+00:00,435.634359,30.09000583,0,25.1,0.0,19.78707692,1,24.9
2025-09-03 20:00:00+00:00,431.15,0.0,0,25.0,0.0,19.8,1,24.9
2025-09-03 21:00:00+00:00,425.0444444,5.3,0,24.9,0.0,19.4,1,25.0
2025-09-03 22:00:00+00:00,427.0,53.42304822,0,24.6,0.0,19.20208333,1,25.0
2025-09-03 23:00:00+00:00,432.0,253.3982828,0,24.38434783,0.0,19.22,1,25.0
2025-09-04 00:00:00+00:00,432.9467836,253.8678879,0,24.14178732,0.0,19.08,1,25.0
2025-09-04 01:00:00+00:00,434.0,253.7214286,0,24.09406162,0.0,18.88067045,1,25.0
2025-09-04 02:00:00+00:00,436.0,254.0,0,23.9,0.0,18.5976,1,25.0
2025-09-04 03:00:00+00:00,433.0,251.1481481,0,23.79714286,0.0,18.19878788,1,25.0
2025-09-04 04:00:00+00:00,436.2,54.14584416,0,23.8,0.164,18.0,1,25.0
2025-09-04 05:00:00+00:00,438.8909091,244.7666667,0,23.6235,29.15951515,18.00160317,1,24.9
2025-09-04 06:00:00+00:00,450.7731624,250.1929032,0,23.4747619,60.30605419,18.25,1,24.8
2025-09-04 07:00:00+00:00,500.64,245.773913,0,23.38434286,355.3235239,20.12923077,1,24.8
2025-09-04 08:00:00+00:00,633.2833333,251.6404762,0,24.199,213.7888857,21.69333333,1,24.8
2025-09-04 09:00:00+00:00,492.674026,251.5404222,0,24.01292208,587.2924013,22.98012821,1,24.8
2025-09-04 10:00:00+00:00,556.84375,249.75,0,24.3,628.007419,23.48541667,1,24.8
2025-09-04 11:00:00+00:00,534.7427156,246.6320346,0,24.02759804,586.7077606,22.64854167,1,24.8
2025-09-04 12:00:00+00:00,559.4833333,251.4760234,0,24.119,685.0923275,23.56,1,24.8
2025-09-04 13:00:00+00:00,498.2123077,250.8834211,0,24.39935484,603.4145789,22.43571429,1,24.8
2025-09-04 14:00:00+00:00,461.8888889,249.1197203,0,24.1,497.7720556,22.99205556,1,24.8
2025-09-04 15:00:00+00:00,657.8269231,131.85,0,24.759375,255.595,22.725,1,24.8
2025-09-04 16:00:00+00:00,467.1435897,49.50961538,0,24.8,64.90435385,22.7964,1,24.8
2025-09-04 17:00:00+00:00,441.0507937,49.07663824,0,24.6,40.47730664,22.11206349,1,24.8
2025-09-04 18:00:00+00:00,437.0353846,49.00740741,0,24.6,1.3271,20.95498182,1,24.8
2025-09-04 19:00:00+00:00,441.24,22.3456044,0,24.5,0.0,19.39958145,1,24.8
2025-09-04 20:00:00+00:00,438.6466346,0.0,0,24.6,0.0,18.5,1,24.8
2025-09-04 21:00:00+00:00,435.3031746,0.0,0,24.6,0.0,18.06,1,24.9
2025-09-04 22:00:00+00:00,444.55,51.28,0,24.4,0.0,18.54,1,24.9
2025-09-04 23:00:00+00:00,444.7534152,48.42022207,0,24.2,0.0,18.84007828,1,24.9
2025-09-05 00:00:00+00:00,447.5333333,48.0,0,24.1,0.0,19.13,1,24.9
2025-09-05 01:00:00+00:00,452.2745536,48.16666667,0,24.0,0.0,17.9,1,24.9
2025-09-05 02:00:00+00:00,458.0,51.86666667,0,24.03548387,0.0,17.92,1,24.9
2025-09-05 03:00:00+00:00,460.9636364,34.86315789,0,23.92857143,0.0,18.6982,1,24.9
2025-09-05 04:00:00+00:00,453.0,55.37727273,0,24.0,0.0,19.40925,1,24.9
2025-09-05 05:00:00+00:00,464.7066667,247.2760234,0,23.71555556,4.063449445,18.16348485,1,24.8
2025-09-05 06:00:00+00:00,515.0166667,250.6565657,0,23.6,10.91732057,17.26600893,1,24.8
2025-09-05 07:00:00+00:00,684.0,245.0,0,24.3,11.01606978,15.904,1,24.7
2025-09-05 08:00:00+00:00,677.7555556,246.4833333,0,24.7,50.36916667,15.92,1,24.7
2025-09-05 09:00:00+00:00,646.6151282,249.494,0,24.694,62.11015385,15.996,1,24.7
2025-09-05 10:00:00+00:00,461.4545455,243.525,0,23.8225,74.71397917,15.8,1,24.7
