,R05_07_N_CO201,R05_07_N_FCI01_1,R05_07_N_MVV01,R05_07_N_TRU01,R05_07_V_CO201,R05_07_V_FCI01_1,R05_07_V_MVV01,R05_07_V_TRU01,HTR9_VEN01_TI01,HTR9_VES01_AZ01,HTR9_VES01_SI01,HTR9_VES01_SV01,HTR9_VES01_TUD01
2025-08-03 03:15:00+00:00,421.535,0,0,23.6,419,0,0,23.3,24.6,55.35072727,0.7225,-1.826227273,16.2
2025-08-03 03:20:00+00:00,421.71,0,0,23.6,419.18,0,0,23.3,24.6,56.37285714,1.2515,-1.267380952,16.2
2025-08-03 03:25:00+00:00,421.9875,0,0,23.6,418.5287267,0,0,23.3,24.6,57.33452381,1.988032264,-0.75,16.1971875
2025-08-03 03:30:00+00:00,422.0258333,0,0,23.6,418.4690909,0,0,23.3,24.6,58.16,2.752314286,-0.3,16.174
2025-08-03 03:35:00+00:00,422,0,0,23.6,418.8,0,0,23.3,24.6,59.0927619,3.476866667,0.219010989,16.12733333
2025-08-03 03:40:00+00:00,421.62,0,0,23.6,418,0,0,23.3,24.6,60.14,4.46530303,0.86,16.154
2025-08-03 03:45:00+00:00,420.7980769,0,0,23.6,418,0,0,23.3,24.6,61.33095238,5.459305556,1.558928571,16.19818182
2025-08-03 03:50:00+00:00,420,0,0,23.6,418,0,0,23.3,24.6,62.30383333,5.990970335,2.1885,16.2
2025-08-03 03:55:00+00:00,421.7361111,0,0,23.6,417.86,0,0,23.3,24.6,63.3975,7.284272727,2.835384615,16.2
2025-08-03 04:00:00+00:00,420.9311364,0,0,23.6,416.8555789,0,0,23.3,24.6,64.5759596,7.93928407,3.611111111,16.2
2025-08-03 04:05:00+00:00,420.7777778,0,0,23.6,416.3112063,0,0,23.3,24.6,65.28019481,10.11807697,4.062770563,16.21482684
2025-08-03 04:10:00+00:00,419.7818182,0,0,23.6,417,0,0,23.3,24.6,66.59714286,14.002,4.871428571,16.28
2025-08-03 04:15:00+00:00,420.3156561,0,0,23.6,417,0,0,23.3,24.6,67.62333333,18.29838866,5.569047619,16.3
2025-08-03 04:20:00+00:00,421.0868298,0,0,23.6,417,0,0,23.3,24.6,68.48347222,23.41633763,6.149926471,16.3
2025-08-03 04:25:00+00:00,421.0767201,0,0,23.6,416.7818182,0,0,23.3,24.6,69.47171429,28.57792727,6.838571429,16.30857143
2025-08-03 04:30:00+00:00,421.3142857,0,0,23.6,416.5230769,0,0,23.3,24.6,70.27583333,31.58446099,7.383809524,16.38472727
2025-08-03 04:35:00+00:00,421.5141176,0,0,23.6,416.5142857,0,0,23.3,24.6,71.53222222,29.16683333,8.217777778,16.4
2025-08-03 04:40:00+00:00,420.4084211,0,0,23.6,416.7384615,0,0,23.3,24.6,72.58512821,29.92024314,8.919350427,16.44285714
2025-08-03 04:45:00+00:00,420.0865597,0,0,23.6,416.9238095,0,0,23.3,24.6,73.3575,44.00134633,9.4675,16.5
2025-08-03 04:50:00+00:00,419.935,0,0,23.6,416.5140234,0,0,23.3,24.6,74.16,54.04246593,10.04,16.5
2025-08-03 04:55:00+00:00,419.4187302,0,0,23.6,416.2436364,0,0,23.3,24.6,74.7,44.4402,10.4,16.5
2025-08-03 05:00:00+00:00,419.6607143,0,0,23.6,416.0289032,0,0,23.3,24.6,75.92857143,59.82394839,11.22,16.568
2025-08-03 05:05:00+00:00,419.8545455,0,0,23.6,417.3907692,0,0,23.3,24.6,77.71833333,66.61666154,12.42333333,16.6
2025-08-03 05:10:00+00:00,419.0945455,0,0,23.6,416.4727273,0,0,23.3,24.6,78.67333333,77.17494545,13.09166667,16.63333333
