datetime,R01_06_CO201,R01_06_FCI01,R01_06_MVV01,R01_06_TRU01,HTR9_VES01_SI01,HTR9_VES01_TUD01,HTRK_RAD03_TF01,HTRK_VEN01_TI01,HTR9_VES01_AZ01,HTR9_VES01_SV01,R01_02_TRU01,R01_07_TRU01
2025-09-01 00:00:00+00:00,433.0607575666666,251.9334609,0.0,25.332794613333334,0.0,20.246667950000003,26.600000000000005,19.2,14.794945056666668,-25.705333333333332,25.286060606666666,25.171851853333333
2025-09-01 00:15:00+00:00,433.8761616333333,252.17194716666665,0.0,25.222284013333333,0.0,20.274867726666667,26.600000000000005,19.1,18.676300926666666,-25.139882996666667,25.215132276666665,25.079649123333336
2025-09-01 00:30:00+00:00,435.2423271,251.50421273333333,0.0,25.06190534,0.0,20.44174074333333,26.600000000000005,19.1,22.70830303,-24.350915826666665,25.143333333333334,25.0
2025-09-01 00:45:00+00:00,434.8144605333334,253.3159384666667,0.0,25.008039846666666,0.0,20.466233766666665,26.600000000000005,19.040000000000003,26.520595236666665,-23.50246633,25.042222223333336,24.90903177
2025-09-01 01:00:00+00:00,433.5543160666667,252.1507933,0.0,25.05796599333333,0.0,20.206636363333335,26.600000000000005,19.0,30.399029099999996,-22.479174603333334,24.866918636666668,24.813681463333335
2025-09-01 01:15:00+00:00,432.15925926666665,250.66653370000003,0.0,24.975690233333335,0.0,19.924949496666667,26.600000000000005,18.960666666666665,34.26184175,-21.302205386666667,24.776884353333333,24.718787879999997
2025-09-01 01:30:00+00:00,432.2569726666666,251.9893718,0.0,24.913118580000003,0.0,19.53851852,26.600000000000005,18.9,38.00936748333333,-20.04222222,24.76208465666667,24.7
2025-09-01 01:45:00+00:00,432.57317459999996,253.8975888,0.0,24.876190476666665,0.0,19.295128136666666,26.600000000000005,18.853333333333335,41.67187710333334,-18.69557383333333,24.7,24.618969696666667
2025-09-01 02:00:00+00:00,432.8985139666667,251.9368046,0.0,24.787499999999998,0.0,18.27304329,26.56503205,18.8,44.88024603333333,-17.342222223333334,24.625333333333334,24.56566666666667
2025-09-01 02:15:00+00:00,432.7477777666666,253.78327736666665,0.0,24.740307016666666,0.0,18.528703703333335,26.5,18.708,48.802738096666666,-15.619047619999998,24.600000000000005,24.5
2025-09-01 02:30:00+00:00,432.84695260000007,253.98507053333333,0.0,24.73405797,0.0,19.076893556666665,26.5,18.7,52.11295238,-14.043214286666668,24.542917603333336,24.493333333333336
2025-09-01 02:45:00+00:00,431.91272726666665,252.24528413333334,0.0,24.525714286666666,0.0,19.395172006666666,26.5,18.7,55.51192592333333,-12.284126986666669,24.459666666666664,24.399999999999995
2025-09-01 03:00:00+00:00,430.5833333333333,171.34783548666667,0.0,24.53063492,0.0,18.994121693333334,26.415624999999995,18.654444443333333,58.967284400000004,-10.428308693333333,24.399999999999995,24.399999999999995
2025-09-01 03:15:00+00:00,428.9340909,244.0936363666667,0.0,24.597424243333336,0.0,19.44495238,26.399999999999995,17.16,62.19523809333333,-8.526666666666666,24.336444443333335,24.36108081
2025-09-01 03:30:00+00:00,429.412987,250.78537336666668,0.0,24.47371830333333,0.0,19.61105478,26.399999999999995,17.26173611,65.04506223,-6.853449074,24.284840586666665,24.284527323333332
2025-09-01 03:45:00+00:00,430.14184606666663,248.88743416666668,0.0,24.417502796666668,0.11886513933333333,19.929362293333334,26.399999999999995,17.233333333333334,68.38862698333334,-4.810644910666666,24.2,24.2
2025-09-01 04:00:00+00:00,430.9437192666667,251.98754393333334,0.0,24.235353533333335,0.9911143503333334,20.096481479999998,26.399999999999995,17.015833333333333,71.57157407333334,-2.736190476333333,24.17771809,24.146567016666665
2025-09-01 04:15:00+00:00,429.67690236666664,247.39577423333333,0.0,24.3,4.16882544,20.100831096666667,26.399999999999995,16.673333333333336,74.60227272666667,-0.7250496543333332,24.111961393333335,24.100000000000005
2025-09-01 04:30:00+00:00,430.3090909,248.74326600000003,0.0,24.3,13.944748988666667,20.235190476666666,26.358333333333334,16.6,77.82873559666668,1.337916602,24.041666666666668,24.00380952333333
2025-09-01 04:45:00+00:00,430.3011784333333,247.06171430000003,0.0,24.269566819999998,22.559829246666666,20.347114153333333,26.3,16.633666666666667,80.8321544,3.3849076483333334,23.97266666666667,23.974666666666668
2025-09-01 05:00:00+00:00,430.64051586666665,246.2895682,0.0,24.255787543333337,29.755239193333335,20.303177843333334,26.24791666666667,16.963693123333332,83.93356630666666,5.537117891333334,23.899999999999995,23.899999999999995
2025-09-01 05:15:00+00:00,438.8948148333333,248.05097856666666,0.0,24.2,32.471850249999996,20.38683916,26.2,17.2,86.91003729666666,7.623856514,23.899999999999995,23.87580952333333
2025-09-01 05:30:00+00:00,446.63289216666664,248.24263513333335,0.0,24.2,50.176873379999996,20.420386070000003,26.2,17.274819143333332,90.08824431666666,9.798945179999999,23.84242424333333,23.85875268
2025-09-01 05:45:00+00:00,439.68647059999995,246.6861137,0.0,24.123465893333332,125.28783324333331,20.902955556666665,26.2,17.255238096666666,93.12572222333334,11.896351853333334,23.8,23.8
2025-09-01 06:00:00+00:00,438.95783476666674,251.20981106666667,0.0,24.100000000000005,106.99574115666667,20.922669996666666,26.2,17.521904763333335,96.46816579333334,14.188569763333334,23.8,23.8
2025-09-01 06:15:00+00:00,443.43333333333334,248.47015366666665,0.0,24.100000000000005,112.03911986666667,21.006555556666665,26.2,17.580000000000002,99.62277249,16.296111110000002,23.8,23.752619046666666
2025-09-01 06:30:00+00:00,466.30519943333337,247.48203356666667,0.0,24.100000000000005,191.6230187,21.155087963333333,26.2,17.5,102.85906903333334,18.407367483333335,23.857982483333334,23.81084627333333
2025-09-01 06:45:00+00:00,476.2168254,249.05706826666665,0.0,24.100000000000005,229.49417660000003,21.222418783333335,26.13031746,17.395833333333332,106.17228836666668,20.50735281333333,24.257682983333336,23.899999999999995
2025-09-01 07:00:00+00:00,507.1794871666666,248.11636683333333,0.0,24.19323725,148.85629333333335,21.25636111,26.100000000000005,17.22238095333333,109.50383333333333,22.564000000000004,24.486192146666667,23.899999999999995
2025-09-01 07:15:00+00:00,586.2198259333333,252.42974506666667,0.0,24.54317460333333,370.11882833333334,21.622739533333334,26.100000000000005,17.135,112.9192835,24.51433622,24.611371406666667,23.94258741333333
2025-09-01 07:30:00+00:00,595.7253142333333,246.70568526666668,0.0,24.600000000000005,387.6524963,22.149289819999996,26.100000000000005,17.2,116.46779326666666,26.516556113333333,24.58736893,23.878277166666667
2025-09-01 07:45:00+00:00,600.7028619333333,249.0343048,0.0,24.67308303,410.97629379999995,22.139435063333334,26.100000000000005,17.261333333333333,119.79809163333334,28.238148146666664,24.39972222333333,23.85475987
2025-09-01 08:00:00+00:00,532.3789077333333,252.1355453,0.0,24.660166423333333,430.5676638666667,22.39991867333333,26.100000000000005,17.173333333333336,123.6534929,30.179444443333335,24.330226053333334,24.37250776666667
2025-09-01 08:15:00+00:00,518.4702645666666,246.5486532,0.0,24.733333333333334,475.53953759999996,22.290361906666664,26.100000000000005,17.1,127.64171426666667,32.01,24.399999999999995,24.57111111
2025-09-01 08:30:00+00:00,521.1979365000001,251.40736346666668,0.0,24.8,454.4713319,22.404800933333334,26.100000000000005,17.15663492,131.54315296666667,33.62595598666667,24.405555556666666,24.530750363333336
2025-09-01 08:45:00+00:00,517.9209956666667,249.8550201666667,0.0,24.8,467.70303416666667,22.308999999999997,26.026666666666667,17.150000000000002,135.68240743333334,35.20583333333334,24.564224909999997,24.32869528
2025-09-01 09:00:00+00:00,520.9499278333334,248.85053856666664,0.0,24.85760234,523.7085639000001,22.475904760000002,26.0,17.058666666666667,139.78066666666666,36.623873016666664,24.567939393333333,24.159714286666667
2025-09-01 09:15:00+00:00,523.6706318666667,246.45584846666668,0.0,24.899999999999995,546.3518093666667,22.36766666666667,26.0,17.06888889,144.40043649999998,38.04301587333333,24.538252726666666,24.55695244333333
2025-09-01 09:30:00+00:00,523.6583333333333,245.57905366666668,0.0,24.899999999999995,563.8124870333332,22.92546032,26.0,16.896666666666665,148.73046153333334,39.200775060000005,24.599047620000004,24.58764411
2025-09-01 09:45:00+00:00,520.9642329,247.17019693333336,0.0,24.899999999999995,586.7825782,22.92503846,26.0,16.948,153.20944446666667,40.256132836666666,24.539848483333333,24.306941903333335
