,R01_06_CO201,R01_06_FCI01,R01_06_MVV01,R01_06_TRU01,HTR9_VES01_SI01,HTR9_VES01_TUD01,HTR9_VEN02_Status,HTRK_RAD01_TR02
2025-09-01 02:40:00+00:00,432.6126623,251.3598168,0,24.62217391,0,19.02935714,1,26
2025-09-01 02:45:00+00:00,432.12,252.388484,0,24.57714286,0,19.42272727,1,26
2025-09-01 02:50:00+00:00,432.6,252,0,24.5,0,19.54666667,1,26
2025-09-01 02:55:00+00:00,431.0181818,252.3473684,0,24.5,0,19.21612208,1,25.92447368
2025-09-01 03:00:00+00:00,431.95,245.3409091,0,24.5047619,0,19.16142857,1,25.9
2025-09-01 03:05:00+00:00,430,26.55714286,0,24.58714286,0,18.74093651,1,25.9
2025-09-01 03:10:00+00:00,429.8,242.1454545,0,24.5,0,19.08,1,25.9
2025-09-01 03:15:00+00:00,429,242.7165501,0,24.59227273,0,19.362,1,25.9
2025-09-01 03:20:00+00:00,428.925,246.5076923,0,24.6,0,19.35857143,1,25.9
2025-09-01 03:25:00+00:00,428.8772727,243.0566667,0,24.6,0,19.61428571,1,25.9
2025-09-01 03:30:00+00:00,428.238961,242.8372775,0,24.57384615,0,19.7,1,25.9
2025-09-01 03:35:00+00:00,430,257,0,24.4,0,19.43916667,1,25.9
2025-09-01 03:40:00+00:00,430,252.5188426,0,24.44730876,0,19.69399767,1,25.9
2025-09-01 03:45:00+00:00,430.8984127,246.4961039,0,24.5,0.001923077,19.88817949,1,25.9
2025-09-01 03:50:00+00:00,430.3578947,247.6198783,0,24.36965125,0.082163777,19.95375354,1,25.9
2025-09-01 03:55:00+00:00,429.1692308,252.5463203,0,24.38285714,0.272508564,19.94615385,1,25.9
2025-09-01 04:00:00+00:00,430.8858586,253.7639216,0,24.21333333,0.566666667,20.04,1,25.9
2025-09-01 04:05:00+00:00,430.8564103,249.8987102,0,24.2,0.756419241,20.00833333,1,25.9
2025-09-01 04:10:00+00:00,431.0888889,252.3,0,24.29272727,1.650257143,20.24111111,1,25.9
2025-09-01 04:15:00+00:00,430.46,249.7390026,0,24.3,2.33778681,20.25107143,1,25.9
2025-09-01 04:20:00+00:00,429.5707071,243.6085185,0,24.3,3.943221256,19.93496032,1,25.9
2025-09-01 04:25:00+00:00,429,248.8398016,0,24.3,6.225468254,20.11646154,1,25.87
2025-09-01 04:30:00+00:00,429,252.2575758,0,24.3,9.716103896,20.26797619,1,25.8
2025-09-01 04:35:00+00:00,432,246.75,0,24.3,13.41966688,20.20892857,1,25.8
2025-09-01 04:40:00+00:00,429.9272727,247.2222222,0,24.3,18.69847619,20.22866667,1,25.8
2025-09-01 04:45:00+00:00,429.8090909,247.1071429,0,24.29270046,21.88447059,20.24,1,25.8
2025-09-01 04:50:00+00:00,430.3611111,246.278,0,24.3,23.71038462,20.38506667,1,25.8
2025-09-01 04:55:00+00:00,430.7333333,247.8,0,24.216,22.08463253,20.41627579,1,25.8
2025-09-01 05:00:00+00:00,430.7215476,247.9350682,0,24.2290293,24.30086531,20.37475079,1,25.77296293
2025-09-01 05:05:00+00:00,430,244.0936364,0,24.3,33.76810396,20.2521875,1,25.7
2025-09-01 05:10:00+00:00,431.2,246.84,0,24.23833333,31.19674831,20.28259524,1,25.7
2025-09-01 05:15:00+00:00,432,249.7501817,0,24.2,31.8290854,20.40307692,1,25.7
2025-09-01 05:20:00+00:00,436.9955556,248.2547841,0,24.2,31.782124,20.4138042,1,25.7
2025-09-01 05:25:00+00:00,447.6888889,246.1479699,0,24.2,33.80434135,20.34363636,1,25.7
2025-09-01 05:30:00+00:00,451.1865553,248.4628017,0,24.2,38.97042117,20.39909343,1,25.7
2025-09-01 05:35:00+00:00,445.6666667,247.9458556,0,24.2,47.72304924,20.40052632,1,25.7
2025-09-01 05:40:00+00:00,443.0454545,248.3192481,0,24.2,63.83714973,20.46153846,1,25.7
2025-09-01 05:45:00+00:00,441.8594118,250.0613137,0,24.17039768,65.51063393,20.9,1,25.7
2025-09-01 05:50:00+00:00,439.2,244.6993651,0,24.1,163.98,20.9,1,25.7
2025-09-01 05:55:00+00:00,438,245.2976623,0,24.1,146.3728658,20.90886667,1,25.7
2025-09-01 06:00:00+00:00,438.6,251.0909091,0,24.1,120.0984901,20.97563636,1,25.7
2025-09-01 06:05:00+00:00,439,253.092,0,24.1,108.2458167,20.95487363,1,25.7
2025-09-01 06:10:00+00:00,439.2735043,249.4465241,0,24.1,92.64291667,20.8375,1,25.7
2025-09-01 06:15:00+00:00,440.7,249.7033181,0,24.1,99.03234161,20.93066667,1,25.7
2025-09-01 06:20:00+00:00,443.6,246.7071429,0,24.1,88.37481429,20.95,1,25.7
2025-09-01 06:25:00+00:00,446,249,0,24.1,148.7102037,21.139,1,25.7
2025-09-01 06:30:00+00:00,455.684127,248.91,0,24.1,261.6691866,21.30531746,1,25.7
2025-09-01 06:35:00+00:00,466.7183761,246.9894135,0,24.1,156.2148665,21.13407143,1,25.7
2025-09-01 06:40:00+00:00,476.5130952,246.5466872,0,24.1,156.985003,21.025875,1,25.7
2025-09-01 06:45:00+00:00,481.3904762,248.3214545,0,24.1,133.5157513,20.99833333,1,25.6852
2025-09-01 06:50:00+00:00,476.01,251.0783217,0,24.1,268.238155,21.18610989,1,25.6
2025-09-01 06:55:00+00:00,471.25,247.7714286,0,24.1,286.7286235,21.48281313,1,25.6
2025-09-01 07:00:00+00:00,473.2,251.3333333,0,24.1,138.1477436,21.38375,1,25.6
2025-09-01 07:05:00+00:00,493.2,246.0759259,0,24.1554386,140.2400259,21.486,1,25.6
2025-09-01 07:10:00+00:00,555.1384615,246.9398413,0,24.32427315,168.1811105,20.89933333,1,25.6
2025-09-01 07:15:00+00:00,578.4722222,253.0842593,0,24.5,316.6908232,21.4528305,1,25.6
2025-09-01 07:20:00+00:00,587.3836842,254.2349759,0,24.52952381,389.1503042,21.54994048,1,25.6
2025-09-01 07:25:00+00:00,592.8035714,249.97,0,24.6,404.5153576,21.86544762,1,25.6
2025-09-01 07:30:00+00:00,584.7944444,248.4530303,0,24.6,385.180618,22.208,1,25.6
2025-09-01 07:35:00+00:00,599.6037205,246.0558384,0,24.6,384.8544771,22.14486946,1,25.6
2025-09-01 07:40:00+00:00,602.7777778,245.6081871,0,24.6,392.9223938,22.095,1,25.6
2025-09-01 07:45:00+00:00,600.6590909,247.975,0,24.62115385,401.7152147,22.13230519,1,25.6
2025-09-01 07:50:00+00:00,604.9,248.3090909,0,24.69809524,408.76,22,1,25.6
2025-09-01 07:55:00+00:00,596.5494949,250.8188235,0,24.7,422.4536667,22.286,1,25.6
2025-09-01 08:00:00+00:00,551.46,253.9236364,0,24.678,408.2562,22.45323077,1,25.6
2025-09-01 08:05:00+00:00,520.4272727,255.352381,0,24.61552448,437.8661028,22.26288889,1,25.6
2025-09-01 08:10:00+00:00,525.2494505,247.1306185,0,24.68697479,445.5806888,22.48363636,1,25.6
2025-09-01 08:15:00+00:00,517.6,238.0222222,0,24.7,468.5708889,22.0836,1,25.6
2025-09-01 08:20:00+00:00,520,251,0,24.7,478.1221316,22.35714286,1,25.6
2025-09-01 08:25:00+00:00,517.8107937,250.6237374,0,24.8,479.9255923,22.43034286,1,25.6
2025-09-01 08:30:00+00:00,518.0228571,253.8095238,0,24.8,424.7415965,22.33586667,1,25.6
2025-09-01 08:35:00+00:00,523.4666667,251.5666667,0,24.8,469.8732071,22.59047619,1,25.6
2025-09-01 08:40:00+00:00,522.1042857,248.8458999,0,24.8,468.7991921,22.28805994,1,25.6
2025-09-01 08:45:00+00:00,518,251.5571429,0,24.8,394.9241169,22.302,1,25.6
2025-09-01 08:50:00+00:00,519.512987,249.9279176,0,24.8,516.0751856,22.125,1,25.6
2025-09-01 08:55:00+00:00,516.25,248.08,0,24.8,492.1098,22.5,1,25.6
2025-09-01 09:00:00+00:00,520.1212121,251.5476923,0,24.8,507.3288,22.46285714,1,25.6
2025-09-01 09:05:00+00:00,522.4085714,246.2057416,0,24.87280702,530.1156667,22.62828571,1,25.6
2025-09-01 09:10:00+00:00,520.32,248.7981818,0,24.9,533.681225,22.33657143,1,25.6
2025-09-01 09:15:00+00:00,520.4243956,245.7305861,0,24.9,540.16663,22.12,1,25.6
2025-09-01 09:20:00+00:00,525,246.4660069,0,24.9,545.8647243,22.108,1,25.6
2025-09-01 09:25:00+00:00,525.5875,247.1709524,0,24.9,553.0240738,22.875,1,25.6
2025-09-01 09:30:00+00:00,526.175,246.3424242,0,24.9,557.3415579,22.94696429,1,25.6
2025-09-01 09:35:00+00:00,522.8,245.3,0,24.9,563.1875874,22.95941667,1,25.55066667
2025-09-01 09:40:00+00:00,522,245.0947368,0,24.9,570.9083158,22.87,1,25.5
2025-09-01 09:45:00+00:00,522.7860116,245.6392422,0,24.9,575.0904391,22.88336538,1,25.5
2025-09-01 09:50:00+00:00,520.6305882,247.0067653,0,24.9,587.5625455,22.98979167,1,25.5
2025-09-01 09:55:00+00:00,519.4760989,248.8645833,0,24.9,597.69475,22.90195833,1,25.5
2025-09-01 10:00:00+00:00,524.6933333,239.5095238,0,24.9,553.4941353,22.74,1,25.5
2025-09-01 10:05:00+00:00,559.6,249.0030303,0,24.9,599.5565741,22.41546667,1,25.5
2025-09-01 10:10:00+00:00,569.78,252.7684211,0,24.96,587.9925111,23.01571429,1,25.5
