,R01_06_CO201,R01_06_FCI01,R01_06_MVV01,R01_06_TRU01,HTR9_VES01_SI01,HTR9_VES01_TUD01,HTR9_VEN02_Status,HTRK_RAD01_TR02
2025-05-01 02:25:00+00:00,424.5687831,0.0,0.0,24.2,0.0,10.7,1,29.1
2025-05-01 02:30:00+00:00,422.7703704,0.0,0.0,24.2,0.0,10.84259259,1,29.1
2025-05-01 02:35:00+00:00,423.8860029,0.0,0.0,24.2,0.0,10.97222222,1,29.2
2025-05-01 02:40:00+00:00,424.2653846,0.0,0.0,24.2,0.0,11.1822,1,29.2
2025-05-01 02:45:00+00:00,425.0,0.0,0.0,24.2,0.0,11.24941601,1,29.2
2025-05-01 02:50:00+00:00,424.9871795,0.0,0.0,24.19871795,0.0,11.3,1,29.2
2025-05-01 02:55:00+00:00,424.0666667,0.0,0.0,24.10230769,0.0,11.2612381,1,29.2
2025-05-01 03:00:00+00:00,424.224359,0.0,0.0,24.19443223,0.06,11.11380952,1,29.2
2025-05-01 03:05:00+00:00,421.9166667,44.57291667,0.0,24.1,0.173277778,11.1,1,29.17
2025-05-01 03:10:00+00:00,423.9761905,46.95454545,0.0,24.1,0.356818182,11.025,1,29.1
2025-05-01 03:15:00+00:00,424.76,51.59662698,0.0,24.1,0.5935,11.06666667,1,29.1
2025-05-01 03:20:00+00:00,425.6553449,52.73725626,0.0,24.1,0.997777076,11.1,1,29.1
2025-05-01 03:25:00+00:00,427.5952381,52.52447552,0.0,24.1,1.635520961,11.09111111,1,29.1
2025-05-01 03:30:00+00:00,430.6190476,51.81076923,0.0,24.09111111,3.076333333,10.82638889,1,29.1
2025-05-01 03:35:00+00:00,431.8615385,52.48519737,0.0,24.00462963,4.668390688,10.84,1,29.1
2025-05-01 03:40:00+00:00,432.3018519,49.56409091,0.0,24.0,6.521025327,11.07272727,1,29.1
2025-05-01 03:45:00+00:00,432.4230769,48.905,0.0,24.0,9.227045455,11.1525,1,29.1
2025-05-01 03:50:00+00:00,433.7840909,49.46794872,0.0,24.0,14.7964134,11.22083333,1,29.1
2025-05-01 03:55:00+00:00,434.7619048,49.2,0.0,24.0,20.54725275,11.43333333,1,29.1
2025-05-01 04:00:00+00:00,435.7714286,57.44444444,0.0,24.0,20.35096465,11.5952381,1,29.1
2025-05-01 04:05:00+00:00,440.5555556,84.11645933,0.0,24.0,22.50987662,11.6,1,29.02666667
2025-05-01 04:10:00+00:00,453.1666667,106.9367847,0.0,24.0,32.93578704,11.6,1,28.9
2025-05-01 04:15:00+00:00,458.1428571,127.6227273,0.0,23.92277056,48.16449513,11.65,1,28.8218254
2025-05-01 04:20:00+00:00,461.3174603,150.0912201,0.0,23.9,61.70184818,11.66916667,1,28.8
2025-05-01 04:25:00+00:00,459.8611111,166.8162338,0.0,23.9,72.15558516,11.6,1,28.8
2025-05-01 04:30:00+00:00,462.0123457,190.9518182,0.0,23.9,81.70152525,11.6,1,28.8
2025-05-01 04:35:00+00:00,467.8333333,215.2083333,0.0,23.9,91.756625,11.6,1,28.8
2025-05-01 04:40:00+00:00,471.6349206,232.3472222,0.0,23.82343434,110.6791744,11.71398291,1,28.8
2025-05-01 04:45:00+00:00,470.8,244.5320856,0.0,23.8,112.3350038,11.80772727,1,28.8
2025-05-01 04:50:00+00:00,471.9027778,246.6818713,0.0,23.78333333,105.622848,11.78,1,28.8
2025-05-01 04:55:00+00:00,473.5714286,247.8234818,0.0,23.73133333,122.3554545,11.82,1,28.8
2025-05-01 05:00:00+00:00,465.9464286,248.0966667,0.0,23.7,133.7555172,11.98452381,1,28.81547619
2025-05-01 05:05:00+00:00,455.8802083,243.958042,0.0,23.7,145.1263916,12.08333333,1,28.9
2025-05-01 05:10:00+00:00,450.7058824,248.8768697,0.0,23.7,154.4012043,11.95,1,28.9
2025-05-01 05:15:00+00:00,447.698022,250.9684954,0.0,23.76076923,161.4311618,11.55698232,1,28.9
2025-05-01 05:20:00+00:00,448.8928571,247.7636364,0.0,23.78333333,166.9464935,11.4075,1,28.9
2025-05-01 05:25:00+00:00,452.4276094,246.1333333,0.0,23.68610526,173.8940056,11.402,1,28.9
2025-05-01 05:30:00+00:00,455.8538961,244.5123077,0.0,23.6,184.8975562,11.4,1,28.9
2025-05-01 05:35:00+00:00,454.2595238,248.321238,0.0,23.66666667,197.91724,11.4,1,28.9
2025-05-01 05:40:00+00:00,453.4620491,251.7787081,0.0,23.7,206.7040072,11.58,1,28.9
2025-05-01 05:45:00+00:00,452.0208333,249.3117647,0.0,23.5775,219.0004866,11.63012821,1,28.9
2025-05-01 05:50:00+00:00,450.2,250.8266349,0.0,23.5,229.0602938,11.84683333,1,28.9
2025-05-01 05:55:00+00:00,448.2380952,249.9311355,0.0,23.54769231,239.3875945,12.11828571,1,28.9
2025-05-01 06:00:00+00:00,446.54,247.05,0.0,23.6,255.6114815,12.33095238,1,28.82619048
2025-05-01 06:05:00+00:00,443.6888889,248.3131313,0.0,23.6,267.0975982,12.5025,1,28.73214286
2025-05-01 06:10:00+00:00,442.73,248.4397436,0.0,23.6,277.8670916,12.6575,1,28.7
2025-05-01 06:15:00+00:00,442.98125,247.3603846,0.0,23.59692308,292.2497222,12.87833333,1,28.63333333
2025-05-01 06:20:00+00:00,443.72,247.0954779,0.0,23.54855072,281.0940428,13.098,1,28.6
2025-05-01 06:25:00+00:00,445.8,246.7115385,0.0,23.5,299.4435222,13.296,1,28.6
2025-05-01 06:30:00+00:00,444.8333333,249.3828671,0.0,23.5,313.7848813,13.73819144,1,28.6
2025-05-01 06:35:00+00:00,442.2960859,245.819086,0.0,23.5,324.9615086,13.9055697,1,28.6
2025-05-01 06:40:00+00:00,438.3392857,247.5989418,0.0,23.5,338.3475617,14.10107692,1,28.6
2025-05-01 06:45:00+00:00,437.2193939,244.63,0.0,23.40545455,346.9406111,14.52,1,28.6
2025-05-01 06:50:00+00:00,434.1458333,243.972,0.0,23.35144928,358.8783857,14.688,1,28.6
2025-05-01 06:55:00+00:00,431.6,247.225188,0.0,23.4,370.1921684,14.74867133,1,28.6
2025-05-01 07:00:00+00:00,431.4583333,246.4333333,0.0,23.4,382.1091654,14.74757937,1,28.6
2025-05-01 07:05:00+00:00,432.9375,247.3938859,0.0,23.4,392.2769006,14.87975,1,28.6
2025-05-01 07:10:00+00:00,430.4,252.6222222,0.0,23.4,407.0820278,14.97752381,1,28.6
2025-05-01 07:15:00+00:00,428.2060185,247.2653595,0.0,23.4,413.1726534,15.20833333,1,28.6
2025-05-01 07:20:00+00:00,428.5142857,251.6621212,0.0,23.4,416.5775833,15.33928571,1,28.6
2025-05-01 07:25:00+00:00,426.5324074,250.9737374,0.0,23.4,429.6586389,15.47714286,1,28.6
2025-05-01 07:30:00+00:00,427.0714286,249.175,0.0,23.4,422.6181923,15.76666667,1,28.56458333
2025-05-01 07:35:00+00:00,426.025098,246.9114286,0.0,23.39185606,444.3419477,15.88054545,1,28.49733333
2025-05-01 07:40:00+00:00,426.0286636,249.5632576,0.0,23.33459983,457.0853886,15.8394968,1,28.46075611
2025-05-01 07:45:00+00:00,426.0,251.1676113,0.0,23.3,471.750692,16.00191919,1,28.4
2025-05-01 07:50:00+00:00,426.0,249.4142857,0.0,23.3,476.707375,15.92338462,1,28.4
2025-05-01 07:55:00+00:00,425.4166667,254.4833333,0.0,23.3,499.9359567,15.81636364,1,28.4
2025-05-01 08:00:00+00:00,426.0,247.6666667,0.0,23.3,502.9579875,15.82083333,1,28.37305556
2025-05-01 08:05:00+00:00,426.6375661,248.5090909,0.0,23.3,512.7666974,16.0,1,28.3
2025-05-01 08:10:00+00:00,427.4444444,251.5236364,0.0,23.3,454.7978,16.14733333,1,28.27777778
2025-05-01 08:15:00+00:00,426.9166667,252.2480519,0.0,23.3,443.2081264,16.10333333,1,28.2
2025-05-01 08:20:00+00:00,428.6444444,252.0874363,0.0,23.3,512.2524167,15.9225,1,28.2
2025-05-01 08:25:00+00:00,429.2116402,249.575268,0.0,23.3,530.9462534,16.05058007,1,28.2
2025-05-01 08:30:00+00:00,429.9818182,249.0654545,0.0,23.3,521.3463994,16.60097643,1,28.2
2025-05-01 08:35:00+00:00,428.3666667,250.5684848,0.0,23.3,516.2953434,16.648,1,28.2
2025-05-01 08:40:00+00:00,427.1264957,251.9409597,0.0,23.3,513.0208304,16.776,1,28.2
2025-05-01 08:45:00+00:00,425.9111111,250.2877193,0.0,23.3,543.6816794,16.92384615,1,28.2
2025-05-01 08:50:00+00:00,426.3013889,250.0314493,0.0,23.3,525.6543727,17.0244,1,28.2
2025-05-01 08:55:00+00:00,425.7309524,248.3868778,0.0,23.3,556.1079008,17.00415584,1,28.11818182
2025-05-01 09:00:00+00:00,424.0454545,248.7068241,0.0,23.3,580.3978523,17.25232727,1,28.1
2025-05-01 09:05:00+00:00,423.1711397,251.2066558,0.0,23.3,565.8137636,17.02533333,1,28.1
2025-05-01 09:10:00+00:00,423.0,250.78,0.0,23.3,527.8262473,17.17785714,1,28.1
2025-05-01 09:15:00+00:00,423.1436264,251.6969697,0.0,23.3,523.5450404,17.28981481,1,28.1
2025-05-01 09:20:00+00:00,422.5508578,250.8635714,0.0,23.3,540.6055575,17.43353535,1,28.1
2025-05-01 09:25:00+00:00,422.0,249.1859406,0.0,23.3,583.7102005,17.42279995,1,28.11642081
2025-05-01 09:30:00+00:00,423.6,249.3736597,0.0,23.3,603.1538834,17.51018519,1,28.18823529
2025-05-01 09:35:00+00:00,422.3571429,248.0496021,0.0,23.3,587.7467409,17.734,1,28.2
2025-05-01 09:40:00+00:00,423.75,245.0333333,0.0,23.3,613.2903848,17.83155556,1,28.2
2025-05-01 09:45:00+00:00,422.5805556,244.6495833,0.0,23.3,658.2768409,18.31620934,1,28.2
2025-05-01 09:50:00+00:00,422.025,248.525,0.0,23.3,642.98295,18.0204071,1,28.2
2025-05-01 09:55:00+00:00,422.0,250.5575397,0.0,23.3,552.4531713,18.12107639,1,28.2
2025-05-01 10:00:00+00:00,422.0,247.5795322,0.0,23.3,599.537963,18.51666667,1,27.9875
2025-05-01 10:05:00+00:00,421.1666667,247.9114286,0.0,23.3,664.4336429,18.34733333,1,26.99333333
2025-05-01 10:10:00+00:00,419.9305556,248.6073684,0.0,23.3,626.7524053,18.20708333,1,26.34533333
2025-05-01 10:15:00+00:00,420.0571429,246.55,0.0,23.3,615.3651835,18.22666667,1,26.14242424
2025-05-01 10:20:00+00:00,420.3333333,242.1825641,0.0,23.3,575.4086429,18.24367857,1,26.0
2025-05-01 10:25:00+00:00,420.3571429,242.6635294,0.0,23.3,584.3385294,18.56616667,1,26.03545455
2025-05-01 10:30:00+00:00,420.1636364,244.381,0.0,23.3,627.1787109,19.05527778,1,26.44102564
2025-05-01 10:35:00+00:00,419.4,246.8285714,0.0,23.3,659.356847,18.736,1,27.16
2025-05-01 10:40:00+00:00,418.7166667,244.6192727,0.0,23.3,692.7182834,18.85472619,1,28.0
2025-05-01 10:45:00+00:00,417.6666667,249.1186012,0.0,23.3,698.2157232,19.02920956,1,28.33333333
2025-05-01 10:50:00+00:00,418.0,251.4115321,0.0,23.3,693.510961,19.06974747,1,28.40704545
2025-05-01 10:55:00+00:00,418.0,248.9661905,0.0,23.3,688.337048,18.83333333,1,28.47227273
2025-05-01 11:00:00+00:00,416.4285714,248.3333333,0.0,23.3,667.0068164,18.8875,1,28.55949074
2025-05-01 11:05:00+00:00,416.1270833,250.48,0.0,23.3,677.74148,19.58138947,1,28.6
2025-05-01 11:10:00+00:00,415.8833333,251.19,0.0,23.3,699.63495,20.42753571,1,28.6
2025-05-01 11:15:00+00:00,415.4,249.02,0.0,23.3,692.7842714,20.00185185,1,28.6
2025-05-01 11:20:00+00:00,417.0,245.5117409,0.0,23.3,701.8045322,19.85472222,1,28.6
2025-05-01 11:25:00+00:00,417.0,243.1705128,0.0,23.3,700.844912,20.2179021,1,28.6
2025-05-01 11:30:00+00:00,416.7666667,243.9508889,0.0,23.3,716.7363675,20.61527778,1,28.6
2025-05-01 11:35:00+00:00,416.8809524,244.9794118,0.0,23.3,714.6194519,20.58444444,1,28.6
2025-05-01 11:40:00+00:00,417.8410256,243.4588889,0.0,23.3,678.975,21.1,1,28.4
2025-05-01 11:45:00+00:00,416.0,241.5277778,0.0,23.3,697.1939179,20.938,1,28.18
2025-05-01 11:50:00+00:00,416.247619,246.9243682,0.0,23.3,697.1558007,20.94233333,1,28.05130869
2025-05-01 11:55:00+00:00,416.2,244.8852564,0.0,23.3,699.1069904,21.122,1,27.89333333
2025-05-01 12:00:00+00:00,416.3673469,245.500919,0.0,23.3,701.3364035,20.53020833,1,27.80746032
2025-05-01 12:05:00+00:00,415.474359,247.7125,0.0,23.3,701.0610657,20.605,1,27.7
2025-05-01 12:10:00+00:00,415.71875,246.8452632,0.0,23.3,687.6246914,20.46694444,1,27.71111111
2025-05-01 12:15:00+00:00,417.361039,247.3483265,0.0,23.3,656.385301,21.04598413,1,27.80365079
2025-05-01 12:20:00+00:00,418.88,244.9498534,0.0,23.3,656.4013142,20.81171429,1,27.88857143
2025-05-01 12:25:00+00:00,417.7240385,244.1295295,0.0,23.3,681.8038815,21.64063492,1,27.73428571
2025-05-01 12:30:00+00:00,416.6,245.2793706,0.0,23.3,622.1358611,21.61701389,1,27.645
2025-05-01 12:35:00+00:00,416.42,245.0285714,0.0,23.3,586.351,20.77261538,1,27.47047619
2025-05-01 12:40:00+00:00,417.55,244.6363636,0.0,23.3,400.2006316,20.48,1,27.365625
2025-05-01 12:45:00+00:00,417.7666667,244.0727273,0.0,23.3,576.3986794,20.76693122,1,27.41666667
2025-05-01 12:50:00+00:00,416.0666667,244.5,0.0,23.3,645.8591658,20.626,1,27.67090909
2025-05-01 12:55:00+00:00,416.4703704,244.7241538,0.0,23.3,599.1173248,21.15245,1,27.988
2025-05-01 13:00:00+00:00,416.0293706,247.3662338,0.0,23.3,618.0235397,19.8687037,1,28.15
2025-05-01 13:05:00+00:00,416.7576923,246.4145455,0.0,23.3,649.6861172,19.56094444,1,28.2285
2025-05-01 13:10:00+00:00,416.3166667,252.28,0.0,23.3,637.6447773,20.02904545,1,28.35714286
2025-05-01 13:15:00+00:00,417.1644444,247.7973262,0.0,23.316,643.4025455,20.03962963,1,28.4
2025-05-01 13:20:00+00:00,418.0871849,247.7013228,0.0,23.36210718,356.7262028,19.85830952,1,28.4
2025-05-01 13:25:00+00:00,418.0925926,246.3428571,0.0,23.2,625.8122909,19.46644444,1,28.4
2025-05-01 13:30:00+00:00,418.08,246.825,0.0,23.24461538,424.5190333,19.86623377,1,28.46539502
2025-05-01 13:35:00+00:00,419.0266667,242.76,0.0,23.48243243,514.3070357,20.08769231,1,28.5425
2025-05-01 13:40:00+00:00,419.6845588,245.0710861,0.0,23.4416903,403.2021124,19.91794872,1,28.58065476
2025-05-01 13:45:00+00:00,419.9174825,252.9913103,0.0,23.4,506.5480276,19.41534392,1,28.6
2025-05-01 13:50:00+00:00,418.37,250.7492063,0.0,23.48571429,483.3030857,19.40345098,1,28.6
2025-05-01 13:55:00+00:00,419.2179487,252.6229183,0.0,23.5,505.6073975,19.5552987,1,28.6
2025-05-01 14:00:00+00:00,418.8472222,250.647619,0.0,23.5,287.8030376,20.12424242,1,28.6
2025-05-01 14:05:00+00:00,419.42,250.3121795,0.0,23.51666667,330.4266813,20.68285714,1,28.6
2025-05-01 14:10:00+00:00,419.0,254.1181818,0.0,23.6,415.8330682,20.47047619,1,28.6
2025-05-01 14:15:00+00:00,419.2060185,250.2542857,0.0,23.604,523.0715215,20.28090909,1,28.6
2025-05-01 14:20:00+00:00,419.0181818,246.7484127,0.0,23.69298246,511.4095455,20.49,1,28.6
2025-05-01 14:25:00+00:00,418.8296429,246.7706333,0.0,23.70363636,509.4218582,20.52576923,1,28.6
2025-05-01 14:30:00+00:00,419.0,247.7363636,0.0,23.79142857,512.7083049,21.08,1,28.6
2025-05-01 14:35:00+00:00,419.3760684,246.1604938,0.0,23.8,506.0798765,21.91306818,1,28.595
2025-05-01 14:40:00+00:00,418.7402597,249.5835439,0.0,23.8,491.3145357,21.91342857,1,28.496
2025-05-01 14:45:00+00:00,419.7967836,250.426738,0.0,23.88,479.2154495,21.30377104,1,28.4
2025-05-01 14:50:00+00:00,419.96,247.1214815,0.0,23.9,467.3645268,20.7657619,1,28.3847619
2025-05-01 14:55:00+00:00,417.5714286,243.5131169,0.0,23.9,462.2137652,20.89263492,1,28.31777778
2025-05-01 15:00:00+00:00,419.7857143,108.6249417,0.0,23.90257576,453.4584424,21.14208333,1,28.1625
2025-05-01 15:05:00+00:00,419.5460317,49.45138889,0.0,23.99710648,444.7119531,21.24590909,1,28.03777778
2025-05-01 15:10:00+00:00,419.0,50.49375,0.0,24.08720588,435.7341875,21.18571429,1,27.8406993
2025-05-01 15:15:00+00:00,419.0,50.45098039,0.0,24.25936508,409.3721819,21.2666369,1,27.7
2025-05-01 15:20:00+00:00,419.0,50.8,0.0,24.31666667,371.5745273,21.09529103,1,27.7
