,HTRK_VEN01_COM01_P,HTRK_VEN01_MVK01_P
2025-05-01 00:00:00+00:00,0,0.168
2025-05-01 00:15:00+00:00,0,0.16875
2025-05-01 00:30:00+00:00,0,0.16875
2025-05-01 00:45:00+00:00,0,0.16875
2025-05-01 01:00:00+00:00,0,0.168
2025-05-01 01:15:00+00:00,0,0.16875
2025-05-01 01:30:00+00:00,0,0.16875
2025-05-01 01:45:00+00:00,0,0.16875
2025-05-01 02:00:00+00:00,0,0.168
2025-05-01 02:15:00+00:00,0,0.16875
2025-05-01 02:30:00+00:00,0,0.16875
2025-05-01 02:45:00+00:00,0,0.16875
2025-05-01 03:00:00+00:00,0,0.168
2025-05-01 03:15:00+00:00,-0.066666667,0.335294118
2025-05-01 03:30:00+00:00,-0.968899774,2.592972193
2025-05-01 03:45:00+00:00,0,0.175384615
2025-05-01 04:00:00+00:00,0,0.177333333
2025-05-01 04:15:00+00:00,0,0.178125
2025-05-01 04:30:00+00:00,0,0.178125
2025-05-01 04:45:00+00:00,0,0.178125
2025-05-01 05:00:00+00:00,0,0.177333333
2025-05-01 05:15:00+00:00,0,0.178125
2025-05-01 05:30:00+00:00,0,0.178125
2025-05-01 05:45:00+00:00,0,0.178125
2025-05-01 06:00:00+00:00,0,0.177333333
2025-05-01 06:15:00+00:00,0,0.178125
2025-05-01 06:30:00+00:00,0,0.178125
2025-05-01 06:45:00+00:00,0,0.178125
2025-05-01 07:00:00+00:00,0,0.177333333
2025-05-01 07:15:00+00:00,0,0.178125
2025-05-01 07:30:00+00:00,0,0.178125
2025-05-01 07:45:00+00:00,0,0.178125
2025-05-01 08:00:00+00:00,0,0.177333333
2025-05-01 08:15:00+00:00,0,0.178125
2025-05-01 08:30:00+00:00,0,0.178125
2025-05-01 08:45:00+00:00,0,0.178125
2025-05-01 09:00:00+00:00,0,0.177333333
2025-05-01 09:15:00+00:00,0,0.178125
2025-05-01 09:30:00+00:00,0,0.178125
2025-05-01 09:45:00+00:00,-0.134482759,0.177333333
2025-05-01 10:00:00+00:00,-1.855500821,1.019305556
2025-05-01 10:15:00+00:00,-3.38968254,5.07148714
2025-05-01 10:30:00+00:00,-7.09707441,9.581656152
2025-05-01 10:45:00+00:00,-8.637550882,12.57992728
2025-05-01 11:00:00+00:00,-9.148703704,22.29035786
2025-05-01 11:15:00+00:00,-13.2417576,38.5161873
2025-05-01 11:30:00+00:00,-16.59511111,54.68466852
2025-05-01 11:45:00+00:00,-26.51823447,67.37811877
2025-05-01 12:00:00+00:00,-55.13482317,57.65351211
2025-05-01 12:15:00+00:00,-55.50613796,29.48570791
2025-05-01 12:30:00+00:00,-39.64154811,19.27573427
2025-05-01 12:45:00+00:00,-35.3750306,17.859375
2025-05-01 13:00:00+00:00,-34.53863636,17.2625
2025-05-01 13:15:00+00:00,-29.09883287,20.81210449
2025-05-01 13:30:00+00:00,-28.05083018,28.303981
2025-05-01 13:45:00+00:00,-29.14586635,34.40071878
2025-05-01 14:00:00+00:00,-29.65452449,39.35515332
2025-05-01 14:15:00+00:00,-36.70332612,43.60580908
2025-05-01 14:30:00+00:00,-39.52540735,46.70288136
2025-05-01 14:45:00+00:00,-44.98795455,48.87757875
