,R05_07_N_CO201,R05_07_N_FCI01_1,R05_07_N_TRU01,R05_07_V_CO201,R05_07_V_FCI01_1,R05_07_V_TRU01,HTRK_VEN01_TI01,HTR9_VES01_AZ01,HTR9_VES01_SI01,HTR9_VES01_SV01,HTR9_VES01_TUD01
2025-07-01 00:00:00+00:00,454.4373205,0.0,24.2,455.2067235,0.0,24.11015392,18.12777778,11.68524135,0.0,-11.15733333,16.01204701
2025-07-01 00:15:00+00:00,454.588175,0.0,24.2,454.4346992,0.0,24.1,17.97142857,15.02480486,0.0,-10.67738095,15.90918367
2025-07-01 00:30:00+00:00,454.5591667,0.0,24.2,454.4804819,0.0,24.1,17.80729167,18.46217124,0.0,-10.04078307,15.81488889
2025-07-01 00:45:00+00:00,453.2551191,0.0,24.15777778,453.048079,0.0,24.00790476,17.66,22.03160173,0.0,-9.306861472,15.7220101
2025-07-01 01:00:00+00:00,452.1625874,0.0,24.1,452.217863,0.0,23.94857143,17.46142857,25.31655329,0.0,-8.455555556,15.4972449
2025-07-01 01:15:00+00:00,452.7770041,0.0,24.1,452.0333819,0.0,23.9,17.31733333,28.47666522,0.0,-7.564025031,15.61651587
2025-07-01 01:30:00+00:00,451.3523905,0.0,24.1,451.5816858,0.0,23.9,17.17488889,31.59490283,0.0,-6.526593407,15.73274074
2025-07-01 01:45:00+00:00,450.9008333,0.0,24.04807692,450.6973999,0.0,23.8705,16.9974359,35.25789202,0.064571429,-5.19165873,16.12831554
2025-07-01 02:00:00+00:00,450.5360299,0.0,24.0,450.290784,0.0,23.8,16.85097222,38.37304422,0.379881637,-3.953146259,15.77863095
2025-07-01 02:15:00+00:00,451.0525535,0.0,23.96666667,452.2792493,0.0,23.8,16.68666667,41.57081349,1.419613707,-2.581633598,15.40319177
2025-07-01 02:30:00+00:00,464.6016258,246.2706358,23.69111111,468.2868262,241.8357269,23.79444444,15.316,44.8037328,4.298245905,-1.064259259,14.11899471
2025-07-01 02:45:00+00:00,478.536951,317.4723945,23.38494444,480.3555716,314.6285875,23.65600337,14.85938889,47.73694853,12.4287823,0.35474988,13.87030026
2025-07-01 03:00:00+00:00,478.8319652,54.72316017,23.45099206,480.7774778,59.15873649,23.4446712,15.4077381,50.76129535,27.61800175,1.927239229,14.50572975
2025-07-01 03:15:00+00:00,473.3271344,62.4295671,23.70095238,471.3303942,62.62294949,23.58190476,17.12666667,53.92267989,48.42134812,3.686961335,15.0034976
2025-07-01 03:30:00+00:00,474.9371659,62.23070175,23.8,471.4936508,62.0041847,23.6,16.83333333,56.8702906,72.32255604,5.441626374,15.40656508
2025-07-01 03:45:00+00:00,476.5923278,62.20266657,23.8,475.2969925,61.94250548,23.51527778,17.00714286,59.84482143,98.12517139,7.285714286,15.66930556
2025-07-01 04:00:00+00:00,482.8835792,61.66654043,23.80283333,477.0719259,61.93199399,23.6,17.02,62.79418687,124.0371209,9.173878151,16.13435556
2025-07-01 04:15:00+00:00,481.8139663,61.86139731,23.87575758,477.0234848,61.70072464,23.6,17.2,65.79250072,150.7203071,11.13945375,16.81470202
2025-07-01 04:30:00+00:00,485.5892593,61.35510568,23.89333333,482.6434851,61.62781981,23.62,17.20666667,68.75728499,183.4461937,13.15059524,16.74885781
2025-07-01 04:45:00+00:00,488.0917725,61.23954617,23.89196429,494.6731151,61.47498583,23.7,17.01538462,71.65179465,206.729729,15.16774845,16.86017857
2025-07-01 05:00:00+00:00,491.2864973,60.93480667,23.94666667,504.1376559,61.93842525,23.74933333,17.055,74.37985185,234.6914182,17.09016667,16.89010909
2025-07-01 05:15:00+00:00,492.4195286,61.1037037,24.00888889,512.9327928,61.99040164,23.8,17.26311111,77.40076263,267.1314861,19.21450337,17.4763433
2025-07-01 05:30:00+00:00,508.5665476,60.85590965,24.03809524,523.9311154,61.74416329,23.86222222,17.24555556,80.24475469,299.4032838,21.27191919,17.98530464
2025-07-01 05:45:00+00:00,550.6659473,68.96442308,24.06833333,539.5589744,62.79014778,23.93636364,17.26,83.51232804,331.4614992,23.58991784,18.422914
2025-07-01 06:00:00+00:00,584.7866206,81.52168626,24.20688889,570.1758919,62.26108303,23.92349206,17.41355556,85.84197619,357.2558176,25.23338889,18.8346
2025-07-01 06:15:00+00:00,619.1528254,108.294709,24.36355556,605.8099937,67.38488668,24.13066667,17.56666667,89.49828571,396.7796295,27.80460317,19.13273016
2025-07-01 06:30:00+00:00,652.8466035,138.5404541,24.2905102,646.0078115,86.15026518,24.15193027,17.7,92.2659906,425.2667475,29.72845547,19.1280102
2025-07-01 06:45:00+00:00,646.7637255,175.643545,24.47644444,634.0608435,95.09614875,24.11015873,17.6,95.68503415,457.1363953,32.04419312,19.69606138
2025-07-01 07:00:00+00:00,653.9034512,211.1601399,24.26233333,660.0233489,110.8329966,24.23642857,17.24,99.0752381,487.9789115,34.25714286,20.0227381
2025-07-01 07:15:00+00:00,657.4940667,233.51109,24.33193651,670.2084614,136.3092665,24.26972222,17.02666667,102.4310794,518.5303297,36.35444444,20.29767196
2025-07-01 07:30:00+00:00,650.7985235,260.5448861,24.27142857,669.3493403,156.661288,24.17142857,17.2042094,105.5242943,545.8837299,38.18035714,20.80404762
2025-07-01 07:45:00+00:00,626.8658034,272.4671789,24.23296703,668.6998304,174.7593253,24.27485714,17.37338217,109.2505981,570.1493434,40.34567989,20.90123386
2025-07-01 08:00:00+00:00,620.6282789,297.7021937,24.28611111,648.8060975,204.6290422,24.30577778,17.18333333,113.3122619,597.6162806,42.48444444,20.9704127
2025-07-01 08:15:00+00:00,615.2269137,312.217037,24.22165079,633.6481615,224.6864802,24.26132756,17.17333333,117.424047,622.3788713,44.51907407,21.50753439
2025-07-01 08:30:00+00:00,607.1288397,313.7289077,24.09683673,615.5710922,246.9912702,24.24642857,17.19642857,121.3953081,644.5688928,46.33303571,21.48185285
2025-07-01 08:45:00+00:00,585.7960606,310.7326427,23.96080586,603.9621717,257.6164935,24.05033333,17.00923077,125.7561111,666.5555351,48.16009259,21.80437037
2025-07-01 09:00:00+00:00,582.8721223,292.7269125,23.61333333,601.9928889,266.9946369,24.0521164,17.0,130.4213961,687.4745345,49.889,21.81815224
2025-07-01 09:15:00+00:00,579.3115849,280.5858508,23.9847619,615.9625745,276.6249471,24.23646561,17.14285714,135.1793624,705.0958233,51.45855556,22.06212432
2025-07-01 09:30:00+00:00,579.8053784,276.5401569,23.86071429,612.6933463,290.4580914,24.17601399,17.33380952,139.756159,719.9397755,52.8012507,21.8606532
2025-07-01 09:45:00+00:00,575.8150049,266.3054767,23.8540404,608.3898189,307.4530736,24.16649346,17.20424242,145.3887103,733.2122205,54.17664622,22.1056832
2025-07-01 10:00:00+00:00,571.7020658,252.5173942,23.86104377,599.8962413,310.5769862,24.06935897,17.05642857,151.1521779,745.2620522,55.37962271,22.58624884
2025-07-01 10:15:00+00:00,540.2055206,237.1938776,23.84821429,576.4693582,313.4808123,24.17857143,17.12591837,157.0498368,755.6779561,56.3398539,23.11482426
2025-07-01 10:30:00+00:00,545.8855472,226.6499062,23.85814286,581.3161492,311.8795632,24.04944444,17.36244444,162.9403968,763.1411666,57.11167749,23.14606061
2025-07-01 10:45:00+00:00,598.3287718,230.7034999,24.21681481,642.791978,310.8772113,24.12121212,17.25285714,169.0995741,769.2668089,57.62144444,22.95106758
2025-07-01 11:00:00+00:00,655.2645437,251.9509732,24.08266667,667.1702767,318.0434101,24.07888528,17.0,175.7722306,774.3185914,57.955,23.11086701
2025-07-01 11:15:00+00:00,629.6510523,257.1007828,24.05204082,646.0580664,314.4989488,24.10765306,17.08894558,182.0924098,776.0600785,57.99571429,23.08012603
2025-07-01 11:30:00+00:00,613.8266384,260.0448085,24.1252381,613.4065281,312.4398199,24.05566667,17.22390572,188.2614947,777.275763,57.80298942,23.1681152
2025-07-01 11:45:00+00:00,601.9453807,270.306734,24.05322222,590.4082768,309.8664562,23.92230952,17.2,194.5861005,776.2760502,57.39946224,22.99781433
2025-07-01 12:00:00+00:00,574.564294,265.2738095,23.90833333,580.7127062,301.1950997,23.96785714,16.99583333,200.6785714,774.1599733,56.77285714,23.11571429
2025-07-01 12:15:00+00:00,551.7519099,254.9441726,23.75469841,568.0714538,308.3513937,23.91887446,17.01428571,206.7602532,769.6026839,55.86954856,23.4833842
2025-07-01 12:30:00+00:00,548.3625926,232.0518022,23.85603175,551.6191721,287.5194932,23.81008081,17.04,212.49288,762.7186985,54.7852417,23.47155291
2025-07-01 12:45:00+00:00,531.1871934,219.4877417,23.86592593,532.3502369,271.5724918,23.78066667,17.13333333,217.9174081,752.9927073,53.57694949,23.54799827
2025-07-01 13:00:00+00:00,526.840335,202.2133319,23.85642857,518.9883001,253.5218374,23.92357143,17.06714286,223.2258366,740.2233319,52.10244898,23.36941468
2025-07-01 13:15:00+00:00,513.4509963,200.2115219,23.87582418,508.8388402,253.7351287,23.97660256,17.0,227.7662881,729.0813517,50.67284308,23.19239588
2025-07-01 13:30:00+00:00,503.4433713,187.4462362,23.91777778,499.8810462,258.1998417,24.09555556,16.97666667,230.0,700.0,49.00213757,23.94740779
2025-07-01 13:45:00+00:00,497.3975523,178.7185045,23.892,489.6378148,270.7088034,24.25666667,17.04083333,237.2102381,687.2943777,47.11333333,23.42150794
2025-07-01 14:00:00+00:00,494.9484275,71.42157545,24.12268707,488.363961,81.11604915,24.46581633,14.76357143,241.3319048,669.1622727,45.326829,23.5057619
2025-07-01 14:15:00+00:00,485.9538889,59.48879142,24.49027778,490.5593003,58.29035079,24.64685714,14.18166667,245.3591722,646.7585416,43.37709158,23.31692308
2025-07-01 14:30:00+00:00,483.2681016,59.19049486,24.61611111,488.8450107,60.30615681,24.8845469,16.98,249.2955159,620.1724292,41.35179894,22.65046111
2025-07-01 14:45:00+00:00,484.4729681,59.07707856,24.73180952,492.8709169,60.18141085,25.12105983,17.81466667,252.9274921,595.120393,39.31428571,23.99891667
2025-07-01 15:00:00+00:00,483.5059266,59.48293651,24.85357143,487.125,60.69246032,25.37908163,17.42767857,256.5004947,564.4472439,37.22091837,23.1927381
2025-07-01 15:15:00+00:00,480.2026914,59.21231135,24.95733333,485.3910249,59.99858062,25.6352381,17.58466667,259.6684815,535.9577057,35.26,23.33377778
2025-07-01 15:30:00+00:00,478.6273148,59.34624339,25.04,482.4982517,58.64723388,25.92305556,17.22531746,263.1395299,504.3862779,33.02977778,23.30290016
2025-07-01 15:45:00+00:00,477.9729484,59.11757066,25.12857143,481.0869116,59.76555834,26.1422851,16.76277211,266.0257675,475.3269966,31.09781385,23.44506956
2025-07-01 16:00:00+00:00,474.6998341,58.79203704,25.20444444,479.3110737,59.1944329,26.25666667,16.375,269.3706667,440.9608627,28.84233333,22.80666667
2025-07-01 16:15:00+00:00,473.942381,58.34553447,25.29866667,477.444941,60.66278509,25.99365079,16.56301587,272.2794444,407.3698067,26.77566667,22.828
2025-07-01 16:30:00+00:00,472.3946052,58.76261146,25.34285714,476.2354163,60.10772251,25.91142857,16.84727891,275.4215556,373.5175246,24.55333333,22.87297778
2025-07-01 16:45:00+00:00,471.6904447,58.46233766,25.4,474.9814451,59.93804865,25.9352381,17.11547619,278.3594048,339.8933537,22.43811224,22.76779337
2025-07-01 17:00:00+00:00,470.9594872,61.20234025,25.41538462,473.3880148,63.51470206,26.08690476,17.17692308,281.3312381,304.9044668,20.31803175,22.29244444
2025-07-01 17:15:00+00:00,470.2228579,61.89460317,25.5,474.0277297,63.07139529,26.25888889,16.9160989,284.24971,273.3060146,18.26059091,22.0055
2025-07-01 17:30:00+00:00,470.1934756,62.34861111,25.57142857,473.1588306,63.5449939,26.59583333,16.85561224,287.3642857,242.5556729,16.01658163,21.5373852
2025-07-01 17:45:00+00:00,468.1345726,61.48116402,25.6,472.8923681,62.87483005,26.496,16.70666667,290.148,212.1376609,14.06727778,21.85830952
2025-07-01 18:00:00+00:00,466.5622462,62.55626781,25.6,472.5964129,62.60261997,26.5,16.60012698,293.1650374,181.3436439,12.01486772,21.80404497
2025-07-01 18:15:00+00:00,465.6269768,62.07105906,25.66428571,472.2387361,62.76617681,26.52714286,16.48192308,295.9928571,152.3399745,10.11714286,21.44730159
2025-07-01 18:30:00+00:00,465.8329798,62.41333333,25.7,471.4717508,62.7072963,26.49238095,16.79142857,299.0112381,121.6449303,8.133761905,21.68713439
2025-07-01 18:45:00+00:00,466.5336033,62.74007937,25.7,470.7200015,63.38840498,26.34666667,16.7625,301.8768571,92.74521132,6.349021645,20.76295382
2025-07-01 19:00:00+00:00,466.4316498,15.23683761,25.7,472.7048485,15.89316239,26.51533333,17.25333333,305.1212063,63.89833636,4.381968254,20.0477381
2025-07-01 19:15:00+00:00,466.8649393,0.0,25.7,472.6845821,0.0,26.6110119,17.80384615,308.0211111,38.67540947,2.720555556,19.042
2025-07-01 19:30:00+00:00,465.9678508,0.0,25.7,471.0758758,0.0,26.28272727,18.05,311.0447039,17.98080725,1.073030303,18.48418388
2025-07-01 19:45:00+00:00,465.8631341,0.0,25.60769231,471.1505291,0.0,26.045,18.07582418,314.0702672,4.978545791,-0.412444444,18.24385185
2025-07-01 20:00:00+00:00,465.1043867,0.0,25.56,470.0682085,0.0,25.89664935,17.92926984,317.1017298,1.981860485,-1.828327228,17.98174872
2025-07-01 20:15:00+00:00,464.3608752,0.0,25.45416667,469.3832638,0.0,25.77908163,17.9,320.4290561,0.508787782,-3.379489796,17.87825397
2025-07-01 20:30:00+00:00,463.4292702,0.0,25.4,468.7351296,0.0,25.65904762,17.9,323.5429233,0.094105764,-4.650833333,17.84089815
2025-07-01 20:45:00+00:00,462.88151,0.0,25.36666667,467.9064559,0.0,25.59266667,17.94666667,326.8130159,0.0,-5.89987827,17.90653333
2025-07-01 21:00:00+00:00,462.9715382,0.0,25.3,468.1955782,0.0,25.475,18.04489796,330.1835459,0.0,-7.028571429,17.925
2025-07-01 21:15:00+00:00,462.5136752,0.0,25.2,466.9230769,0.0,25.38,18.10386905,333.3582795,0.0,-8.005512266,17.87737422
2025-07-01 21:30:00+00:00,462.451076,0.0,25.17333333,466.9157941,0.0,25.3,18.22857143,336.7065476,0.0,-8.929753968,17.72083333
2025-07-01 21:45:00+00:00,461.9773016,0.0,25.1,465.3237656,0.0,25.21538462,18.38461538,340.3532698,0.0,-9.807777778,17.59982143
2025-07-01 22:00:00+00:00,461.3785122,0.0,25.08571429,465.1130822,0.0,25.12142857,18.4,343.6077381,0.0,-10.45035714,17.82803571
2025-07-01 22:15:00+00:00,460.6888075,0.0,25.0,464.5343046,0.0,25.06,18.45312169,346.9488249,0.0,-10.94507071,17.91793752
2025-07-01 22:30:00+00:00,459.5070299,0.0,24.94,464.0267677,0.0,24.96777778,18.62,350.399246,0.0,-11.35285714,17.60368254
2025-07-01 22:45:00+00:00,458.5725123,0.0,24.9,463.1502787,0.0,24.9,18.75,353.8635387,0.0,-11.68968254,17.40223156
2025-07-01 23:00:00+00:00,458.4016835,0.0,24.80769231,461.1151515,0.0,24.81333333,18.825,357.4101119,0.0,-11.876,17.35329841
2025-07-01 23:15:00+00:00,456.8697011,0.0,24.74214286,461.0462204,0.0,24.79583333,18.90785714,45.93759089,0.0,-11.9,17.10673319
2025-07-01 23:30:00+00:00,456.6645014,0.0,24.7,459.4391223,0.0,24.7035964,19.0,4.713344877,0.0,-11.80884848,16.87670791
2025-07-01 23:45:00+00:00,456.3612722,0.0,24.60714286,459.5130943,0.0,24.64142857,19.0,8.015136054,0.0,-11.6,16.9
2025-07-02 00:00:00+00:00,455.3082051,0.0,24.6,458.2121212,0.0,24.6,19.0,11.33878788,0.0,-11.25185185,16.93933333
2025-07-02 00:15:00+00:00,455.4162752,0.0,24.55888889,457.488613,0.0,24.54666667,19.0,15.15828571,0.0,-10.71457143,16.86895767
2025-07-02 00:30:00+00:00,455.462821,0.0,24.5,457.4099076,0.0,24.5,19.0,18.40611111,0.0,-10.15373016,16.88246032
2025-07-02 00:45:00+00:00,453.8226263,0.0,24.47857143,456.8565432,0.0,24.42,18.94285714,21.85529004,0.0,-9.40148052,16.97932121
2025-07-02 01:00:00+00:00,453.4287808,0.0,24.4,456.7085839,0.0,24.4,18.8,24.888,0.0,-8.646666667,17.05944444
2025-07-02 01:15:00+00:00,453.1335074,0.0,24.4,456.06,0.0,24.38,18.8,28.18428571,0.0,-7.698476191,17.32424242
2025-07-02 01:30:00+00:00,451.7891685,0.0,24.4,454.8380329,0.0,24.3,18.72307692,31.97063492,0.0,-6.46252551,17.48273655
2025-07-02 01:45:00+00:00,451.6030034,0.0,24.4,454.2770754,0.0,24.3,18.60909091,35.37809829,0.036111111,-5.223490029,17.36119709
2025-07-02 02:00:00+00:00,450.4857143,0.0,24.4,452.8691919,0.0,24.26,18.6,38.29619048,0.346366162,-4.06,17.27771429
2025-07-02 02:15:00+00:00,449.537884,0.0,24.34410256,452.4998712,0.0,24.2,18.52307692,41.57863095,1.326897785,-2.673376623,17.38687338
2025-07-02 02:30:00+00:00,454.2307311,0.0,24.27717687,468.6393194,0.0,24.17130159,18.40714286,44.48359745,3.605266045,-1.27762477,17.38524636
2025-07-02 02:45:00+00:00,459.9136617,0.0,24.34222222,474.9444424,0.0,24.255,18.36,47.93265486,11.48674419,0.345560847,17.30114286
2025-07-02 03:00:00+00:00,479.9718551,107.0477778,24.4,476.2935047,81.7596929,24.2,17.94423469,50.60405964,23.30357874,1.728504089,17.80528139
2025-07-02 03:15:00+00:00,480.9236621,242.4207935,24.3,478.7533985,177.9060717,24.17678571,17.155,53.38866213,42.26224228,3.314515306,20.19777778
2025-07-02 03:30:00+00:00,480.5472144,262.754416,24.05466667,480.7780266,190.0507334,24.04888889,17.14285714,56.82119841,67.4091355,5.334285714,20.17466667
2025-07-02 03:45:00+00:00,481.0201183,263.0721497,23.97333333,482.6801258,177.5172515,23.85980952,17.49666667,59.95653463,93.64671476,7.262112776,19.58428472
2025-07-02 04:00:00+00:00,481.3198195,256.1311916,23.91390476,482.2371202,162.6113317,23.74425926,17.24444444,62.77637379,119.6971715,9.069179894,21.04919577
2025-07-02 04:15:00+00:00,479.6267274,251.3884869,23.96587302,482.1808192,142.9041874,23.7,17.28333333,65.75275974,146.1664109,11.02166667,20.94592703
2025-07-02 04:30:00+00:00,477.8128205,251.4021911,24.05714286,488.6064611,116.8660302,23.78357143,17.46428571,68.7022328,175.4923025,13.03493122,20.32232381
2025-07-02 04:45:00+00:00,479.9464286,258.4472313,24.10538721,492.6972459,109.3087121,23.9,17.34,71.45532997,196.9871528,14.96557731,19.60706617
2025-07-02 05:00:00+00:00,482.3650661,272.5037058,24.2,494.6897283,100.1387377,23.89777778,17.35714286,74.36924114,226.5754593,17.00479649,19.48187535
2025-07-02 05:15:00+00:00,486.7251852,287.6585859,24.16602564,501.5300716,86.72862898,23.90111111,17.32205128,77.44698052,254.1576637,19.17371429,20.01688312
2025-07-02 05:30:00+00:00,500.931937,307.0911057,24.15055556,501.108538,85.48461102,24.0,17.33066667,80.40296927,285.5445615,21.29156288,20.61423193
2025-07-02 05:45:00+00:00,520.4480769,313.3257595,24.09615385,505.8462104,84.1111551,23.89301282,17.09935897,83.28928501,315.7645644,23.32600592,21.22214452
2025-07-02 06:00:00+00:00,531.840471,310.4237762,24.2,517.3140095,80.15974106,24.02380952,17.22,86.34060606,352.1585901,25.53821429,21.41123021
2025-07-02 06:15:00+00:00,566.2386532,315.8449206,24.14844444,554.8101491,79.50023285,24.04666667,17.2,89.30069841,356.5396055,27.61087302,21.30336905
2025-07-02 06:30:00+00:00,580.0612121,313.9380952,24.27142857,569.7476319,88.54271605,24.19333333,17.22142857,92.14960317,403.0287557,29.5621645,21.50046825
2025-07-02 06:45:00+00:00,589.3781822,320.06562,24.17142857,571.2910793,96.86710847,24.15048186,17.21428571,95.50926632,435.5809988,31.83070136,22.27578054
2025-07-02 07:00:00+00:00,590.5770503,319.1603937,24.17333333,595.8363432,105.425239,24.14134921,17.27333333,98.82916667,467.5448041,34.00222222,22.26926852
2025-07-02 07:15:00+00:00,591.2008751,315.309531,24.11631481,613.5688741,124.3853792,24.37503175,17.20355556,102.1698135,498.6782175,36.08567063,22.37590278
2025-07-02 07:30:00+00:00,590.0585969,316.2654845,24.08636508,615.5609137,169.5878132,24.50511616,17.27777778,105.7395065,528.8907474,38.21934199,22.77480012
2025-07-02 07:45:00+00:00,592.7734977,311.1629252,24.0244898,605.9255679,214.2280063,24.51186224,17.17142857,109.2046939,553.1969545,40.26742012,22.94093615
2025-07-02 08:00:00+00:00,582.7732865,308.722807,23.9702381,589.1498755,253.4240285,24.28555556,17.32952381,113.1137698,577.748984,42.28060301,23.5187482
2025-07-02 08:15:00+00:00,584.4260823,315.4336735,23.93,575.0004309,281.8963358,24.28452381,17.33538462,117.2423138,617.04491,44.35238095,24.14642857
2025-07-02 08:30:00+00:00,570.5271795,307.4095238,23.90452381,558.1704925,286.9087302,24.1,17.1297619,121.3836574,658.8710656,46.237,24.43247619
2025-07-02 08:45:00+00:00,574.5581378,299.7231558,23.90166667,554.852294,300.6299184,24.07827778,17.22166667,125.5653401,665.0709063,47.96377778,24.67743771
2025-07-02 09:00:00+00:00,572.4183532,298.8845599,23.99047619,553.0833739,315.3728235,24.02517007,17.56428571,130.2026711,668.7561418,49.74013605,25.00612245
2025-07-02 09:15:00+00:00,559.0451083,290.4075818,23.97825397,550.6874777,314.1787779,24.04380952,17.27733333,135.1805714,697.8933402,51.37934921,25.37986905
2025-07-02 09:30:00+00:00,560.9744211,285.6722662,23.97555556,551.3237293,312.0382974,24.13269841,17.01666667,140.162451,706.8271784,52.83556122,25.24125232
2025-07-02 09:45:00+00:00,565.8237037,298.769302,24.09142857,557.1744072,310.5962869,24.01071429,16.86904762,145.4279141,728.5729673,54.13402381,25.2600463
2025-07-02 10:00:00+00:00,561.6414104,300.1179029,23.94285714,533.9235994,302.3169468,23.91904762,16.88392857,151.1292826,851.0342716,55.27857143,25.39404762
2025-07-02 10:15:00+00:00,525.6572391,293.5119649,23.82888889,514.3714795,303.0320856,23.89444444,17.00666667,157.0023972,658.4837615,56.25387871,25.69933089
2025-07-02 10:30:00+00:00,517.8570945,275.5589803,24.00444444,524.524379,286.5556493,23.83161905,16.93333333,162.987037,776.3299931,57.03848148,25.892
2025-07-02 10:45:00+00:00,549.0633913,275.2291994,23.89285714,541.3212793,283.0487346,24.0,16.94047619,169.1951786,771.7119387,57.57232993,25.55962585
2025-07-02 11:00:00+00:00,557.6163351,269.354223,23.88527778,539.0617863,284.7432651,23.93641799,17.13111111,175.654164,791.4828731,57.8475,25.92580952
2025-07-02 11:15:00+00:00,562.5493506,258.6166203,23.91714286,537.0827561,284.4842352,24.00714286,16.91547619,181.4993197,844.5163679,57.9,25.97723214
2025-07-02 11:30:00+00:00,554.4527151,257.7963324,23.99460317,529.2712249,278.2861054,23.992,17.14,188.1713148,886.9203925,57.77754101,25.9779246
2025-07-02 11:45:00+00:00,547.4213075,254.2878832,23.96031746,520.6089625,278.8555169,24.00787037,16.65555556,194.2502309,850.8738873,57.35001587,25.79354475
2025-07-02 12:00:00+00:00,558.3142639,246.3568624,24.00857143,519.2407367,282.5422963,24.04142857,16.5,201.0421712,828.6229666,56.63809524,25.97740476
2025-07-02 12:15:00+00:00,571.0748148,250.097037,24.0,522.947133,284.1678514,23.94044444,16.49878788,206.7064993,827.3031329,55.79611966,25.75142857
2025-07-02 12:30:00+00:00,556.3297924,250.0482504,23.88708333,520.423699,281.161799,23.95595238,16.56,212.2106576,596.7340941,54.77488095,26.02088435
2025-07-02 12:45:00+00:00,535.9892113,240.0729465,23.87566667,517.9937517,276.0919471,23.88143434,16.76,217.7605767,218.8908056,53.50929293,24.87591852
2025-07-02 13:00:00+00:00,532.0560593,232.5200811,23.91428571,514.4108634,276.3143449,23.93142857,17.11111111,222.8599567,771.5005391,52.15064935,25.09185529
2025-07-02 13:15:00+00:00,520.1362044,238.0277871,23.94880952,509.3174242,283.985147,24.17678571,17.1,227.8860528,706.3529949,50.56944444,25.73716667
2025-07-02 13:30:00+00:00,504.0669341,230.4730409,23.88867347,506.1480794,297.7530873,24.33380952,17.45887755,232.2898207,687.3570176,48.98811791,26.11433271
2025-07-02 13:45:00+00:00,494.3496748,221.6414021,23.87333333,502.8534249,316.4024298,24.54733333,17.71333333,236.8731061,661.1098847,47.19382684,26.709
2025-07-02 14:00:00+00:00,488.667578,97.64410497,24.19388889,493.9899645,120.6250789,24.60228571,15.76266667,241.1419868,635.4959754,45.31447619,27.37638148
