,R01_07_CO201,R01_07_FCI01,R01_07_TRU01,HTR9_VES01_AZ01,HTR9_VES01_SI01,HTR9_VES01_SV01,HTR9_VES01_TUD01,HTRK_VEN01_TI01,R01_06_TRU01,R01_08_TRU01
2025-05-01 00:00:00+00:00,422.7701697,0.0,24.3,14.51682292,0.0,-18.80925926,11.14471667,14.86266667,24.4,23.9
2025-05-01 00:15:00+00:00,423.0472667,0.0,24.24959677,18.09544147,0.0,-18.25244093,11.11804496,14.64902304,24.4,23.8233817
2025-05-01 00:30:00+00:00,422.6897321,0.0,24.2,21.94564553,0.0,-17.478125,11.27933036,14.41785714,24.41290509,23.8
2025-05-01 00:45:00+00:00,422.9363566,0.0,24.2,25.67896401,0.0,-16.60058036,11.46003314,14.18888889,24.44084581,23.8
2025-05-01 01:00:00+00:00,423.6687879,0.0,24.2,29.33532738,0.0,-15.62706926,11.45238095,13.95444444,24.3,23.8
2025-05-01 01:15:00+00:00,424.0,0.0,24.12331731,32.54194712,0.0,-14.63098984,11.34624199,13.80867063,24.3,23.79385417
2025-05-01 01:30:00+00:00,423.8757307,0.0,24.1,35.98815359,0.0,-13.4403612,11.20480903,13.67020833,24.30579529,23.70340909
2025-05-01 01:45:00+00:00,423.6651144,0.0,24.1,39.61409395,0.0,-12.09201007,11.27213507,13.5140873,24.23919822,23.7
2025-05-01 02:00:00+00:00,424.0768254,0.0,24.06121497,42.88419625,0.0,-10.68157744,11.04096441,13.35407407,24.2,23.7
2025-05-01 02:15:00+00:00,424.3175666,0.0,24.00125078,46.15172311,0.0,-9.206846105,10.766039,13.21197917,24.2,23.66875
2025-05-01 02:30:00+00:00,423.7731431,0.0,24.0,49.72698909,0.0,-7.484305556,10.98922917,13.13333333,24.2,23.6
2025-05-01 02:45:00+00:00,424.3290879,0.0,24.0,52.8569281,0.0,-5.817083333,11.26891791,13.04375,24.16899038,23.6
2025-05-01 03:00:00+00:00,424.3224664,35.51086957,23.99090909,56.04493651,0.184462626,-4.053333333,11.08552381,13.09444444,24.13147741,23.59809524
2025-05-01 03:15:00+00:00,425.9555352,56.77879655,23.90364583,59.01261259,1.070735454,-2.360869733,11.08472222,17.85486111,24.1,23.5078125
2025-05-01 03:30:00+00:00,430.0227273,56.21248196,23.86369048,62.40694444,4.755249783,-0.330902778,10.90762311,16.99404762,24.03020833,23.5
