,R01_07_CO201,R01_07_FCI01,R01_07_TRU01,HTR9_VES01_AZ01,HTR9_VES01_SI01,HTR9_VES01_SV01,HTR9_VES01_TUD01,HTRK_VEN01_TI01,R01_06_TRU01,R01_08_TRU01
2025-09-01 00:00:00+00:00,429.3787879,272.7035761,25.17185185,14.79494505,0.0,-25.70533333,20.24666795,19.2,25.33279461,24.88304762
2025-09-01 00:15:00+00:00,429.4279517,266.6553794,25.07819549,18.66426587,0.0,-25.13960678,20.28386621,19.1,25.21845245,24.78619048
2025-09-01 00:30:00+00:00,428.2060606,265.4519749,25.0,22.70830303,0.0,-24.35091582,20.44174074,19.1,25.06190534,24.70205128
2025-09-01 00:45:00+00:00,429.0273211,266.912211,24.91014696,26.45619331,0.0,-23.51930916,20.47615955,19.04285714,25.00733086,24.61113946
2025-09-01 01:00:00+00:00,428.2626207,269.21328,24.81368146,30.3990291,0.0,-22.4791746,20.20663636,19.0,25.05796599,24.58441799
2025-09-01 01:15:00+00:00,428.8862826,265.3084366,24.72012987,34.17360029,0.0,-21.33033911,19.9017316,18.965,24.97395382,24.46821429
2025-09-01 01:30:00+00:00,429.7412854,265.7532371,24.7,38.00936748,0.0,-20.04222222,19.53851852,18.9,24.91311858,24.43912069
2025-09-01 01:45:00+00:00,429.7663027,265.6589191,24.62032468,41.60290404,0.0,-18.72194419,19.30816833,18.85714286,24.8744898,24.39857143
2025-09-01 02:00:00+00:00,429.7685418,267.4514535,24.56566667,44.88024603,0.0,-17.34222222,18.27304329,18.8,24.7875,24.33067169
2025-09-01 02:15:00+00:00,428.3320589,266.8191423,24.5,48.8027381,0.0,-15.61904762,18.5287037,18.70857143,24.74030702,24.20111111
2025-09-01 02:30:00+00:00,427.5714286,267.308723,24.49285714,52.19028061,0.0,-14.00463435,19.07506453,18.7,24.72934783,24.15714286
2025-09-01 02:45:00+00:00,427.6689609,271.0627043,24.4,55.51192593,0.0,-12.28412698,19.39517201,18.7,24.52571429,24.1
2025-09-01 03:00:00+00:00,426.9642857,182.774202,24.4,59.04555982,0.0,-10.38696339,18.9821712,18.65119048,24.53248299,24.06595238
2025-09-01 03:15:00+00:00,426.33,263.5790909,24.36108081,62.1952381,0.0,-8.526666667,19.44495238,17.16,24.59742424,24.08366162
