param,value,cost_DKK
eta_carnot,0.3,4.583748281611365
eta_carnot,0.35,4.56737068294113
eta_carnot,0.4,4.555200997768507
eta_carnot,0.45,4.549131111617525
eta_carnot,0.5,4.548734011172528
eta_carnot,0.55,4.548734011172528
eta_carnot,0.6,4.548734011172528
COP_fixed,2.0,4.707991851678158
COP_fixed,2.5,4.660214499526469
COP_fixed,3.0,4.628362931425343
COP_fixed,3.5,4.605611811353111
COP_fixed,4.0,4.588548471298936
COP_fixed,4.5,4.5752769845901335
COP_fixed,5.0,4.564659795223092
