date,mae,rmse,bias,mae_ngt,bias_ngt,Ta_fc_mean,Ta_actual_mean,Ta_fc_min,Ta_actual_min,Ta_fc_max,Ta_actual_max,n_hours
2025-05-01,1.8613158357291664,2.0126637349115004,1.8613158357291664,1.9627503078571427,1.9627503078571427,15.887500000000001,14.026184164270832,14.5,12.04551111,19.2,18.27855903,96
2025-05-02,1.9821448532083334,2.156248589374899,1.9783948532083333,2.3237370068214287,2.317308435392857,11.998958333333334,10.020563480125,10.1,6.500443376,15.0,13.80236012,96
2025-05-03,1.6549435254687503,1.8131572610692177,1.6549435254687503,1.8746738663035718,1.8746738663035718,10.073958333333334,8.419014807864583,8.0,5.432947917,12.5,11.027625,96
2025-05-04,1.3804925436562498,1.5943937994216653,0.9473481889687498,1.7756345150178572,1.2717861251964284,10.00625,9.05890181103125,7.1,4.621599919,13.7,12.99260962,96
2025-05-05,1.5370018158333334,1.7893486537904844,1.4879319514791665,1.3711334194642857,1.287013652,11.948958333333332,10.461026381854166,7.6,4.736111111,15.5,14.25350801,96
2025-05-06,1.0183532312604169,1.3116414778822174,0.0005688225520834034,1.2020028898392858,0.338148505982143,11.803125,11.802556177447917,8.5,7.105794071,15.6,16.30755013,96
2025-05-07,1.7021307849791665,1.9300893630495644,0.251915605625,1.6267834194285715,1.1154138230357142,12.221874999999999,11.969959394375001,8.7,7.885543643,16.2,17.55811153,96
2025-05-08,1.5070717485208334,1.775207122641438,1.2555579745625,1.0303147397857144,0.7514113126428572,13.520833333333334,12.26527535877083,10.0,8.491999749,16.8,17.06863151,96
2025-05-09,2.3453774793229165,2.6202970428886605,2.301059695364583,1.6945056351785712,1.6443686062499998,13.03125,10.730190304635416,10.7,8.710583333,14.9,13.62068646,96
2025-05-10,1.5262609773854168,1.6861034173446443,1.5206013792604167,1.2914335492142857,1.2914335492142857,10.649999999999999,9.129398620739584,8.3,7.147710623,13.8,12.06521982,96
2025-05-11,1.39967930596875,1.7334582474466254,-0.32836299826041676,1.0917868093035712,0.05907420526785704,10.641666666666667,10.970029664927083,8.4,5.990912088,13.0,16.84522078,96
2025-05-12,0.6754899362604165,0.8658247841417246,0.4782303764479164,0.8737596001964284,0.5813430833749997,14.53125,14.053019623552084,9.6,9.003076923,19.2,19.48413509,96
2025-05-13,2.2941017647083335,2.388175962028177,2.2941017647083335,2.05546337325,2.05546337325,15.073958333333332,12.779856568625,11.8,9.609166667,18.0,16.46399694,96
2025-05-14,2.1077979805520832,2.238301767084133,2.1077979805520832,2.3481445729107144,2.3481445729107144,12.901041666666664,10.793243686114584,9.8,7.298976191,16.5,15.12468946,96
2025-05-15,1.4440057466145835,1.6345729483170162,1.2618822245312502,1.754508795267857,1.5438864081249999,14.617708333333333,13.355826108802082,11.8,9.808148148,18.0,17.30739823,96
2025-05-16,1.7650961542708334,1.9828232034127318,1.7343530951041668,2.0555794805357146,2.046011988392857,14.164583333333335,12.430230238229166,12.2,10.20133333,17.0,15.85079082,96
2025-05-17,1.5585966309583335,1.927074305704174,1.2023433930416667,2.289083117,2.289083117,12.622916666666663,11.420573273625001,10.4,7.527625708,14.2,15.36761905,96
2025-05-18,0.8877814116249998,1.0655318581847566,0.5592431224583334,0.8834296672499998,0.7657210654642856,15.064583333333333,14.505340210875,11.8,8.410888334,21.1,20.20064491,96
2025-05-19,1.0168724866666665,1.299749276695909,0.7711491654166664,1.4628420878571429,1.106699110357143,17.0625,16.291350834583334,12.4,10.14285714,22.2,21.95333333,96
2025-05-20,2.2242800545833337,2.4033312684399992,2.2242800545833337,1.9851518626785716,1.9851518626785716,15.544791666666667,13.320511612083331,12.1,10.40714286,20.4,19.68080616,96
2025-05-21,2.1072368368854164,2.332095418832342,1.99737001809375,2.651619787517857,2.651619787517857,10.436458333333334,8.439088315239584,8.6,5.392754416,14.3,11.92,96
2025-05-22,2.1495724146145836,2.494893019577116,2.02533550778125,1.6656786831785715,1.4679558425357142,9.19375,7.1684144922187505,6.5,4.6,13.2,11.72848042,96
2025-05-23,1.5418319302187502,1.8023833524539985,1.3319601812604167,2.0598296516250003,2.0598296516250003,10.904166666666667,9.57220648540625,7.8,5.645311355,14.4,15.10422222,96
2025-05-24,0.9842862584375002,1.0825911042841798,0.3818733601041669,1.0845813655357144,1.0845813655357144,12.370833333333332,11.988959973229166,11.7,10.45870467,14.0,15.92833333,96
