alpha_cost,start_h,stop_h,qv,dh_all,cost,pct_occ
0.0,20.03773295304642,5.570808782444537,270.0,105.52670512638382,6.937268388254985,62.5
0.0001,20.03773295304642,5.570808782444537,270.0,105.52670512638382,6.937268388254985,62.5
0.00021544346900318845,20.03773295304642,5.570808782444537,270.0,105.52670512638382,6.937268388254985,62.5
0.00046415888336127773,20.03773295304642,5.570808782444537,270.0,105.52670512638382,6.937268388254985,62.5
0.001,20.03773295304642,5.570808782444537,270.0,105.52670512638382,6.937268388254985,62.5
0.002154434690031882,20.03773295304642,5.570808782444537,270.0,105.52670512638382,6.937268388254985,62.5
0.004641588833612777,20.03773295304642,5.570808782444537,270.0,105.52670512638382,6.937268388254985,62.5
0.01,20.03773295304642,5.570808782444537,270.0,105.52670512638382,6.937268388254985,62.5
0.021544346900318822,20.03773295304642,5.570808782444537,270.0,105.52670512638382,6.937268388254985,62.5
0.046415888336127774,20.009028797650554,5.534434046692112,270.0,105.52670512638382,6.937268388254985,62.5
0.1,20.203279427681405,5.560446186429839,270.0,105.52670512638382,6.937268388254985,62.5
