System,Discomfort_degC_h,Cost_DKK,Comfort_pct_22_24,Policy,Delta_dh_vs_BAU,Delta_cost_vs_BAU
BAU / Reference,147.41951741134073,4.297344095248781,59.285714285714285,Actual/reference operation from X_train on the selected window.,0.0,0.0
No night vent,166.8584146564978,3.8849651009323365,52.85714285714286,Reference case with qv forced to 0 during night hours.,19.43889724515708,-0.41237899431644465
Rolling MPC (knee),105.52670512638382,6.937268388254985,62.5,"Representative knee week policy: start=20.0h, stop=5.6h, qv=270 m³/h.",-41.89281228495692,2.639924293006204
DMI-MPC (knee),121.02375813652829,4.720995811988256,22.142857142857142,Time-varying daily policy from DMI forecast; no single fixed setpoint.,-26.39575927481245,0.42365171673947444
