System,dh_all,dh_occ,Cost_DKK,Comfort_pct_occ,Mean_occ_Ti,Max_occ_Ti,Policy,Δdh_all_vs_BAU,Δdh_occ_vs_BAU,Δcost_vs_BAU
BAU / Reference,147.41951741134073,69.3646594083349,4.297344095248781,59.285714285714285,23.990923705833353,25.163490607639332,Actual/reference operation from X_train on the selected window.,0.0,0.0,0.0
No night vent,166.8584146564978,76.59491026085965,3.8849651009323365,52.85714285714286,24.094213003726566,25.165260641208313,Reference case with qv forced to 0 during night hours.,19.43889724515708,7.2302508525247475,-0.41237899431644465
ANN Knee (simulated),137.186283645356,67.5990292983642,4.300293747651555,60.0,23.96570041854806,25.159953593982507,"Fixed ANN knee setpoints on this window: start=20.0h, stop=8.0h, qv=165 m³/h.",-10.233233765984721,-1.7656301099707008,0.0029496524027736726
Rolling MPC (knee),132.64529633784272,65.66772905510257,5.292442740250042,60.71428571428571,23.93811041507289,25.156363905115942,"Representative rolling-MPC policy: start=20.0h, stop=5.6h, qv=270 m³/h.",-14.774221073498012,-3.6969303532323323,0.9950986450012609
DMI-MPC (knee),123.25080385999253,63.064989207314696,6.414193589419169,62.857142857142854,23.900928417247354,24.784132511324326,Time-varying daily policy from DMI forecast; no single fixed setpoint.,-24.168713551348205,-6.299670201020206,2.1168494941703875
