date,dec_ts,dh_mpc,cost_mpc,free_mpc,pct_occ,pct_night,dh_base,cost_base,pct_base,delta_dh,delta_cost,elig_count,start_h,stop_h,qv_night,n_pareto,elapsed_s
2025-05-01,2025-05-01 18:00:00,15.310769329207158,0.2500503659677971,0.6620031342112846,90.0,72.91666666666666,24.78455920915632,0.06751643193465172,80.0,-9.473789879949162,0.18253393403314538,28,20.093999820518942,6.5660572701043876,137.8995988831799,10,20.140159368515015
2025-05-02,2025-05-02 18:00:00,9.266698134243242,0.12443216434821625,0.7253750662432175,100.0,95.83333333333334,17.10641339973661,0.0009653472622106277,100.0,-7.839715265493368,0.12346681708600561,28,20.19343442320886,7.878713745144986,106.90370303978924,10,10.15893292427063
2025-05-03,2025-05-03 18:00:00,8.388135102520547,0.05430256169004599,0.3604520219158728,67.5,100.0,14.327886313099981,0.0,60.0,-5.939751210579434,0.05430256169004599,28,20.437612887237744,7.964667695482564,111.93745057543333,10,8.983038902282715
2025-05-04,2025-05-04 18:00:00,10.229818171934285,0.2896854216633568,1.3325592068733636,70.0,85.41666666666666,18.424069689927528,0.1319146260584153,67.5,-8.194251517993242,0.1577707956049415,28,20.189517396187043,7.528214935299239,115.15572824840001,10,8.287580013275146
2025-05-05,2025-05-05 18:00:00,17.425853853618662,0.32247025906157856,1.1414912794619134,62.5,87.5,28.829240108179064,0.20321663703650034,17.5,-11.403386254560402,0.11925362202507822,28,20.392435398939245,7.858555063965957,135.55447198326365,10,8.474421262741089
2025-05-06,2025-05-06 18:00:00,18.730176237012948,0.45316359465472167,1.3276062055911844,67.5,77.08333333333334,30.8384507095137,0.25491947720816915,20.0,-12.108274472500753,0.19824411744655251,28,20.880150007121273,7.696894162437307,119.59907580602007,10,8.093345642089844
2025-05-07,2025-05-07 18:00:00,17.73628258141155,0.44566129640111674,1.2455514019677225,40.0,85.41666666666666,26.878801098603265,0.2956583382666094,0.0,-9.142518517191714,0.1500029581345073,28,20.561510677745677,7.596945952143978,96.48880903183847,10,8.32107162475586
2025-05-08,2025-05-08 18:00:00,15.570243057501134,0.39071380635897734,1.2742851062885558,70.0,87.5,26.871527026544772,0.194520338324158,20.0,-11.301283969043638,0.19619346803481935,28,20.228188749388995,7.852541531829728,130.65976252428274,10,7.532406806945801
2025-05-09,2025-05-09 18:00:00,6.478007117897169,0.1237714885092202,0.5734171145909378,100.0,100.0,12.902533656492276,0.0012512045354126356,100.0,-6.4245265385951065,0.12252028397380757,28,20.322975574966303,7.938040435835994,99.74402470064682,10,8.250123262405396
2025-05-10,2025-05-10 18:00:00,11.512644593378678,0.14874053180977267,0.8946459710126611,57.49999999999999,77.08333333333334,16.896135645907446,0.0,52.5,-5.383491052528768,0.14874053180977267,28,20.189896985432153,7.582418361887843,120.03699605659952,10,8.348266363143921
2025-05-11,2025-05-11 18:00:00,20.46367593664107,0.43392694681392896,1.508141659284307,65.0,72.91666666666666,37.82473306602877,0.1591448812392633,37.5,-17.3610571293877,0.27478206557466567,28,20.041820378394664,7.967386447553218,163.20543180770426,10,9.013282060623169
2025-05-12,2025-05-12 18:00:00,25.54113504659138,0.23500023113537027,0.7104422909092827,25.0,72.91666666666666,34.6213372772156,0.111606324312168,0.0,-9.080202230624224,0.12339390682320227,28,22.04125410873638,7.986201996236967,116.39629731279535,10,9.620065450668335
2025-05-13,2025-05-13 18:00:00,23.327000419814993,0.2957921262821033,1.0165011951648062,52.5,66.66666666666666,37.20022561758129,0.07702970374002802,22.5,-13.873225197766295,0.21876242254207526,28,21.00646516298153,7.756496854922553,181.36736228009136,10,8.109882116317749
2025-05-14,2025-05-14 18:00:00,11.277849527083898,0.23203433629642184,1.111977553641343,62.5,79.16666666666666,20.07270483268828,0.022055473892224474,57.49999999999999,-8.794855305604383,0.20997886240419736,28,20.979302245750937,7.796879611517638,168.7654067767065,10,8.24417781829834
2025-05-15,2025-05-15 18:00:00,14.487349828102733,0.17599235037740527,0.5839478191754865,100.0,79.16666666666666,21.408178271959976,0.06719410659680558,70.0,-6.920828443857243,0.10879824378059968,28,22.028338167523202,6.68100938829803,113.90081202585708,10,8.974884033203125
2025-05-16,2025-05-16 18:00:00,10.172027089069516,0.1642648983400655,0.7255793651518033,95.0,95.83333333333334,18.31718597265626,0.0008205472947096853,65.0,-8.145158883586745,0.16344435104535582,28,20.08524942558893,7.8260775568245275,133.5185324393451,10,10.137608289718628
2025-05-17,2025-05-17 18:00:00,11.591653392725508,0.057354146236116954,0.3176264708471085,72.5,89.58333333333334,19.476238340747557,0.0,52.5,-7.884584948022049,0.057354146236116954,28,21.11612629514935,7.975919434435425,130.7308310359238,10,10.041675806045532
2025-05-18,2025-05-18 18:00:00,16.972828682118042,0.45579215504907733,0.9688244678896689,45.0,93.75,24.35969403713202,0.2905978841548462,32.5,-7.386865355013978,0.1651942708942311,28,20.086842429227485,7.843163776546946,140.0171396014069,10,7.806217908859253
