start_h_m0,stop_h_m0,qv_night_m0,dh_above,cost_dkk
22.10967813185433,2.321366729361488,158.79817856162393,176.12733308919516,3.1377781246198277
20.29490789591282,2.8874349359126743,6.486581965058076,213.02627657649793,2.147392060594807
20.270716580894028,6.495283614168338,78.80540931917761,173.4244582753404,2.686820306486702
21.348648842186314,3.0597752118546047,180.91977345301086,163.66727594443003,3.932326252066302
21.68406840463976,3.2070634303203747,248.28027816631663,159.89426465273772,5.186473957087553
22.093318283834645,7.486672491277905,34.54276934085187,206.5662653782785,2.0821836040434607
20.240517106484024,7.660210013605267,234.15531631017694,131.13211993522597,7.513112511018662
20.82993642209561,2.3361758118536304,98.038857297243,177.5679384240973,2.834771924123259
22.41866484950878,7.260832167752888,263.9339853289937,149.47306759266564,6.938192518365317
22.80486858870264,7.999074263047595,13.855576782624537,224.72504792515943,1.5986984987223867
20.453765713532277,4.652194941605394,102.24202715330269,166.8383992260529,3.116805833733428
22.239888620881896,5.201182665132345,224.31884273304723,159.09040526392235,4.920155567623933
22.681610235483994,4.793145770442644,186.23873447575627,169.6845216264382,3.7945017279645725
21.209990558015953,3.389377088486766,187.42517688706437,159.2997219442933,4.222343328599397
21.275899204693992,5.622125800151708,156.10528985362328,160.98087466073403,3.817209129297556
22.22058570692751,3.5216751297258186,233.47215141193885,163.280987290208,4.667180238651313
21.116952513488076,5.035161485098344,86.61602478533172,176.88562277933812,2.7240359115448367
22.156977913190747,7.941278453734987,82.44049026872015,183.3679864378895,2.285452214084968
22.082884503864122,6.735315625813867,193.46609274060464,158.41379818113978,4.506498353497693
20.421293776412142,2.815161218011234,188.96907688014525,153.11972862578477,4.553735720840243
21.92699479111463,5.615173422763141,266.8773862512501,152.417849548988,6.594829950527138
20.11770500342775,6.724191690079996,110.55053356182233,159.1086130372547,3.3285540974214833
22.542322378517763,3.3661762994116247,50.48167918466666,199.44886798538622,2.3428985749870366
20.511689847832304,3.5587124919630826,191.31969726619437,153.8766464754445,4.630391372940862
20.066439790780194,2.400596363084808,113.11425825974395,166.4834705331772,3.203117733426123
20.461155848323934,3.2762384374534,79.47128254102374,176.3439651680041,2.788847106829901
20.880328903542978,5.655296610745362,3.060635344111605,221.7736076278174,1.7395197526620767
22.95678083941568,3.957115877692004,137.1149173116249,181.42045235424516,2.9059089144677657
21.925931863780598,3.787459712835346,52.45496297533895,194.76414256355832,2.421126609854178
21.096614368309247,6.109032369325798,162.13471791072212,156.12754749805254,4.098158645684375
22.876543063691862,7.0598220777495335,248.549537805595,157.61081832521862,5.873990153231344
21.36085693632171,4.428190927465113,226.0898236998579,154.8347305390154,5.227505989202867
