label,system,dh,cost,cost_const,fan_var,cool_var,free_var,fan_const,cool_const,free_const,pct_occ,pct_night,color,marker,delta_dh,delta_cost
Baseline (no night vent),Reference,563.0728392855359,2.2732740767368282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.900000000000006,65.87837837837837,steelblue,s,78.77266772983313,-2.282903792664519
Base simulation (current),Reference,484.3001715557028,4.556177869401347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.4,73.7331081081081,black,D,0.0,0.0
Best cost,ANN+NSGA-II,236.55752956385857,1.121845290750533,10.299542218604184,0.0,0.0,0.0,0.0,0.0,0.0,85.20833333333333,88.28125,deepskyblue,P,-247.7426419918442,-3.4343325786508143
Same cost as base sim,ANN+NSGA-II,382.1803889474195,4.540813853896518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,84.12162162162163,mediumseagreen,^,-102.11978260828329,-0.015364015504829354
Same comfort as base sim,ANN+NSGA-II,484.49610925607203,3.2109357041697764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.3,77.11148648648648,coral,v,0.19593770036925662,-1.345242165231571
Knee (balanced),ANN+NSGA-II,156.0194834187894,3.3750273313973276,15.987109997557937,0.0,0.0,0.0,0.0,0.0,0.0,84.0625,64.32291666666666,mediumorchid,h,-328.28068813691334,-1.1811505380040197
Best comfort,ANN+NSGA-II,125.78103645603524,9.58601997877477,31.645816237385326,0.0,0.0,0.0,0.0,0.0,0.0,70.41666666666667,39.40972222222222,gold,*,-358.51913509966755,5.029842109373423
Rolling MPC (System 2),Rolling-MPC,313.9948100232584,6.45005667366254,,6.230956276580745,0.21910039708179496,0.0,0.0,0.0,0.0,74.2,79.64527027027027,royalblue,X,-170.30536153244435,1.8938788042611927
