System,dh_all,dh_occ,cost,pct_occ,policy,Δcost_vs_ANN,Δdh_all_vs_ANN,Δdh_occ_vs_ANN
BAU / Reference,147.41951741134073,69.3646594083349,4.297344095248781,59.285714285714285,Actual/reference operation from X_train,-0.0029496524027736726,10.233233765984721,1.7656301099707008
ANN Knee (target),137.186283645356,67.5990292983642,4.300293747651555,60.0,"ANN fixed setpoints: start=20.0h, stop=8.0h, qv=165 m³/h",0.0,0.0,0.0
Rolling MPC (matched cost),141.14586742292775,68.52218822366288,4.3030447137200944,59.64285714285714,"Matched-cost rolling policy: start=20.0h, stop=5.6h, qv=101 m³/h",0.0027509660685396398,3.959583777571737,0.9231589252986794
DMI-MPC (matched cost),134.61702328770627,70.297534969103,4.324764844220045,46.785714285714285,Matched-cost DMI policy: full qv profile scaled by factor 0.85,0.024471096568490225,-2.569260357649739,2.698505670738797
